# Generated from ../data/13JUL2013/000.dat
freq T_rw T_rw_desired T_s T_s_desired
0 286.094 344.846 1 1
0.0999001 1081.21 1367.42 1 1
0.1998 3602.14 4704.07 1 1
0.2997 560.142 740.846 1 1
0.3996 357.697 475.414 1 1
0.4995 280.441 418.061 1 1
0.599401 292.527 463.002 1 1
0.699301 254.576 470.86 1 1
0.799201 259.283 489.999 1 1
0.899101 77.9216 177.26 1 1
0.999001 136.934 350.531 1 1
1.0989 108.27 265.507 1 1
1.1988 138.33 333.103 1 1
1.2987 140.786 315.804 1 1
1.3986 142.546 282.827 1 1
1.4985 111.328 209.323 1 1
1.5984 136.53 241.276 1 1
1.6983 151.75 258.125 1 1
1.7982 198.732 334.272 1 1
1.8981 103.395 177.307 1 1
1.998 137.259 238.583 1 1
2.0979 106.971 203.095 1 1
2.1978 86.9085 175.082 1 1
2.2977 108.523 220.089 1 1
2.3976 178.002 365.364 1 1
2.4975 101.029 232.331 1 1
2.5974 111.945 226.525 1 1
2.6973 116.86 247.107 1 1
2.7972 114.626 219.379 1 1
2.8971 183.241 343.436 1 1
2.997 162.615 293.974 1 1
3.0969 129.397 236.971 1 1
3.1968 133.486 233.364 1 1
3.2967 109.335 201.855 1 1
3.3966 128.467 233.727 1 1
3.4965 131.067 252.923 1 1
3.5964 116.573 224.429 1 1
3.6963 67.5471 132.445 1 1
3.7962 242.45 494.27 1 1
3.8961 119.777 252.472 1 1
3.996 169.784 353.041 1 1
4.0959 130.256 244.525 1 1
4.1958 123.098 239.522 1 1
4.2957 90.1092 169.842 1 1
4.3956 104.947 197.852 1 1
4.4955 257.542 486.071 1 1
4.5954 235.786 413.679 1 1
4.6953 45.123 92.6179 1 1
4.7952 127.169 223.249 1 1
4.8951 254.327 486.972 1 1
4.995 94.8093 167.899 1 1
5.0949 126.349 247.532 1 1
5.1948 121.905 232.222 1 1
5.2947 148.776 290.864 1 1
5.39461 104.428 208.884 1 1
5.49451 170.54 344.719 1 1
5.59441 109.652 224.834 1 1
5.69431 118.128 214.176 1 1
5.79421 207.246 384.794 1 1
5.89411 111.509 202.276 1 1
5.99401 106.033 194.419 1 1
6.09391 93.5957 159.271 1 1
6.19381 96.3734 174.334 1 1
6.29371 95.7857 177.948 1 1
6.39361 113.327 201.416 1 1
6.49351 84.7399 155.359 1 1
6.59341 56.5196 109.468 1 1
6.69331 142.443 300.77 1 1
6.79321 58.3845 116.273 1 1
6.89311 101.712 206.398 1 1
6.99301 130.537 253.981 1 1
7.09291 62.4517 122.864 1 1
7.19281 93.1621 172.318 1 1
7.29271 110.51 207.519 1 1
7.39261 190.592 346.606 1 1
7.49251 78.446 144.548 1 1
7.59241 163.438 292.103 1 1
7.69231 105.695 193.952 1 1
7.79221 854.112 1549.77 1 1
7.89211 101.245 187.499 1 1
7.99201 80.1178 150.249 1 1
8.09191 83.0967 156.07 1 1
8.19181 227.991 428.047 1 1
8.29171 327.883 618.041 1 1
8.39161 147.383 265.507 1 1
8.49151 309.5 569.304 1 1
8.59141 179.178 323.458 1 1
8.69131 93.7131 173.4 1 1
8.79121 109.12 192.343 1 1
8.89111 137.028 253.91 1 1
8.99101 162.422 298.952 1 1
9.09091 79.112 149.778 1 1
9.19081 77.2485 145.371 1 1
9.29071 40.4675 75.6091 1 1
9.39061 61.8494 116.211 1 1
9.49051 77.7506 144.198 1 1
9.59041 57.4144 106.45 1 1
9.69031 76.4601 142.825 1 1
9.79021 54.9214 103.621 1 1
9.89011 67.3626 128.507 1 1
9.99001 50.8316 96.6151 1 1
10.0899 65.154 122.539 1 1
10.1898 254.398 475.049 1 1
10.2897 54.3907 101.329 1 1
10.3896 151.546 279.097 1 1
10.4895 472.339 860.085 1 1
10.5894 197.365 356.942 1 1
10.6893 129.984 236.357 1 1
10.7892 87.1829 159.085 1 1
10.8891 69.7721 129.24 1 1
10.989 57.7873 108.532 1 1
11.0889 75.1797 145.088 1 1
11.1888 32.2011 62.2114 1 1
11.2887 99.0547 194.447 1 1
11.3886 35.4586 67.6024 1 1
11.4885 66.8713 129.031 1 1
11.5884 40.6458 75.2136 1 1
11.6883 172.507 308.448 1 1
11.7882 32.6346 60.1663 1 1
11.8881 37.4373 66.2871 1 1
11.988 38.7849 70.3444 1 1
12.0879 25.3766 45.7817 1 1
12.1878 86.7569 157.78 1 1
12.2877 26.5533 51.9725 1 1
12.3876 28.1131 54.2956 1 1
12.4875 21.7091 43.5573 1 1
12.5874 23.7098 45.159 1 1
