# Generated from ../data/13JUL2013/000.dat
freq T_rw T_rw_desired T_s T_s_desired
0 286.094 344.846 1 1
0.3996 357.697 475.414 1 1
0.799201 259.283 489.999 1 1
1.1988 138.33 333.103 1 1
1.5984 136.53 241.276 1 1
1.998 137.259 238.583 1 1
2.3976 178.002 365.364 1 1
2.7972 114.626 219.379 1 1
3.1968 133.486 233.364 1 1
3.5964 116.573 224.429 1 1
3.996 169.784 353.041 1 1
4.3956 104.947 197.852 1 1
4.7952 127.169 223.249 1 1
5.1948 121.905 232.222 1 1
5.59441 109.652 224.834 1 1
5.99401 106.033 194.419 1 1
6.39361 113.327 201.416 1 1
6.79321 58.3845 116.273 1 1
7.19281 93.1621 172.318 1 1
7.59241 163.438 292.103 1 1
7.99201 80.1178 150.249 1 1
8.39161 147.383 265.507 1 1
8.79121 109.12 192.343 1 1
9.19081 77.2485 145.371 1 1
9.59041 57.4144 106.45 1 1
9.99001 50.8316 96.6151 1 1
10.3896 151.546 279.097 1 1
10.7892 87.1829 159.085 1 1
11.1888 32.2011 62.2114 1 1
11.5884 40.6458 75.2136 1 1
11.988 38.7849 70.3444 1 1
12.3876 28.1131 54.2956 1 1
12.7872 13.4374 24.8728 1 1
13.1868 47.1324 85.4062 1 1
13.5864 45.428 84.4989 1 1
13.986 30.151 58.1669 1 1
14.3856 50.7917 89.2375 1 1
14.7852 15.9986 29.3406 1 1
15.1848 27.1478 55.9248 1 1
15.5844 13.3241 22.7837 1 1
15.984 39.048 73.0086 1 1
16.3836 12.4102 22.3604 1 1
16.7832 22.6281 39.0491 1 1
17.1828 74.7238 135.301 1 1
17.5824 54.2632 104.957 1 1
17.982 66.6452 135.707 1 1
18.3816 49.2053 89.7055 1 1
18.7812 416.639 762.167 1 1
19.1808 57.2759 109.673 1 1
19.5804 88.8506 170.661 1 1
19.98 124.622 231.002 1 1
20.3796 160.82 303.051 1 1
20.7792 71.4346 130.167 1 1
21.1788 29.9364 54.8615 1 1
21.5784 69.9209 137.528 1 1
21.978 254.94 459.311 1 1
22.3776 354.648 653.511 1 1
22.7772 201.734 372.759 1 1
23.1768 281.268 514.195 1 1
23.5764 139.784 265.157 1 1
23.976 87.8812 160.714 1 1
24.3756 125.507 220.733 1 1
24.7752 128.67 228.512 1 1
25.1748 96.0326 213.179 1 1
25.5744 100.578 177.448 1 1
25.974 186.011 328.168 1 1
26.3736 156.553 258.39 1 1
26.7732 56.6548 120.33 1 1
27.1728 57.6291 101.745 1 1
27.5724 72.3302 132.391 1 1
27.972 288.75 492.538 1 1
28.3716 94.6591 174.234 1 1
28.7712 69.6781 132.687 1 1
29.1708 85.2398 152.854 1 1
29.5704 175.343 370.075 1 1
29.97 87.1417 159.926 1 1
30.3696 517.021 935.979 1 1
30.7692 57.2873 111.482 1 1
31.1688 505.095 937.688 1 1
31.5684 68.2941 128.044 1 1
31.968 54.63 104.711 1 1
32.3676 122.371 227.277 1 1
32.7672 51.3322 100.28 1 1
33.1668 58.1156 120.428 1 1
33.5664 204.101 362.609 1 1
33.966 149.402 269.088 1 1
34.3656 70.6611 134.316 1 1
34.7652 81.8312 146.2 1 1
35.1648 49.7808 99.4515 1 1
35.5644 34.3735 64.3817 1 1
35.964 38.3043 77.7471 1 1
36.3636 117.774 223.076 1 1
36.7632 49.3763 87.2309 1 1
37.1628 65.3662 112.422 1 1
37.5624 70.7549 129.396 1 1
37.962 198.833 364.037 1 1
38.3616 311.381 561.366 1 1
38.7612 151.577 275.687 1 1
39.1608 116.957 209.237 1 1
39.5604 50.5773 107.289 1 1
39.96 294.628 571.676 1 1
40.3596 191.098 348.282 1 1
40.7592 96.4639 179.254 1 1
41.1588 71.5204 133.36 1 1
41.5584 96.0803 174.35 1 1
41.958 115.257 219.091 1 1
42.3576 472.575 872.666 1 1
42.7572 487.899 904.418 1 1
43.1568 93.8679 168.871 1 1
43.5564 91.194 162.194 1 1
43.956 173.358 316.485 1 1
44.3556 70.644 141.855 1 1
44.7552 56.9393 104.976 1 1
45.1548 193.482 356.607 1 1
45.5544 271.381 501.756 1 1
45.954 116.656 218.102 1 1
46.3536 164.226 303.383 1 1
46.7532 54.5851 108.183 1 1
47.1528 49.2707 85.8587 1 1
47.5524 61.3001 109.265 1 1
47.952 57.0886 106.449 1 1
48.3516 34.6122 78.0855 1 1
48.7512 65.9507 112.497 1 1
49.1508 31.548 55.6038 1 1
49.5504 29.4258 58.547 1 1
49.95 97.5272 165.812 1 1
50.3496 33.0911 70.9979 1 1
50.7492 75.6705 136.387 1 1
51.1488 130.426 234.585 1 1
51.5484 121.782 235.602 1 1
51.948 187.041 338.42 1 1
52.3476 101.817 203.328 1 1
52.7472 74.9652 137.225 1 1
53.1468 197.156 357.069 1 1
53.5464 119.454 227.065 1 1
53.9461 69.543 128.721 1 1
54.3457 93.8232 173.861 1 1
54.7453 153.025 298.681 1 1
55.1449 85.035 150.763 1 1
55.5445 52.3815 104.053 1 1
55.9441 182.809 295.057 1 1
56.3437 346.443 592.416 1 1
56.7433 78.6942 156.634 1 1
57.1429 101.436 220.893 1 1
57.5425 83.6458 168.237 1 1
57.9421 109.045 207.427 1 1
58.3417 322.049 494.845 1 1
58.7413 112.48 271.517 1 1
59.1409 64.8269 128.093 1 1
59.5405 78.4156 179.172 1 1
59.9401 94.2405 177.339 1 1
60.3397 79.049 156.298 1 1
60.7393 416.998 809.587 1 1
61.1389 234.418 437.396 1 1
61.5385 53.1019 113.758 1 1
61.9381 67.7405 130.528 1 1
62.3377 121.858 232.685 1 1
62.7373 129.165 241.359 1 1
63.1369 55.4412 102.138 1 1
63.5365 178.38 345.022 1 1
63.9361 92.5568 174.529 1 1
64.3357 96.5962 187.64 1 1
64.7353 58.9879 117.217 1 1
65.1349 133.16 251.566 1 1
65.5345 338.025 588.275 1 1
65.9341 125.762 226.892 1 1
66.3337 70.5427 145.866 1 1
66.7333 74.3073 135.75 1 1
67.1329 171.837 361.608 1 1
67.5325 136.065 261.731 1 1
67.9321 63.9171 177.673 1 1
68.3317 110.773 194.968 1 1
68.7313 72.805 119.007 1 1
69.1309 88.3093 139.273 1 1
69.5305 90.5652 178.045 1 1
69.9301 54.4766 102.218 1 1
70.3297 44.7157 87.3514 1 1
70.7293 69.9926 125.714 1 1
71.1289 90.1278 160.153 1 1
71.5285 187.733 330.904 1 1
71.9281 60.5829 117.052 1 1
72.3277 75.1057 137.279 1 1
72.7273 64.7914 118.937 1 1
73.1269 48.0288 89.1382 1 1
73.5265 89.2715 164.675 1 1
73.9261 119.633 224.114 1 1
74.3257 95.6474 183.478 1 1
74.7253 184.753 346.334 1 1
75.1249 72.1576 143.041 1 1
75.5245 38.5393 85.9627 1 1
75.9241 104.137 194.416 1 1
76.3237 71.342 133.932 1 1
76.7233 38.9436 75.6506 1 1
77.1229 68.9027 114.96 1 1
77.5225 47.1016 82.7549 1 1
77.9221 27.6608 51.1889 1 1
78.3217 38.808 61.5781 1 1
78.7213 58.5671 104.447 1 1
79.1209 39.4081 66.65 1 1
79.5205 70.4783 123.674 1 1
79.9201 122.954 213.698 1 1
80.3197 90.693 160.707 1 1
80.7193 134.134 241.112 1 1
81.1189 92.0452 176.556 1 1
81.5185 152.746 305.75 1 1
81.9181 50.4212 111.035 1 1
82.3177 102.683 197.213 1 1
82.7173 309.576 595.427 1 1
83.1169 137.91 260.665 1 1
83.5165 76.6954 144.54 1 1
83.9161 55.9965 103.402 1 1
84.3157 18.9279 35.5372 1 1
84.7153 47.3465 86.2254 1 1
85.1149 42.8428 80.9209 1 1
85.5145 47.9329 92.5985 1 1
85.9141 30.8229 59.692 1 1
86.3137 89.303 171.8 1 1
86.7133 76.0444 136.924 1 1
87.1129 133.882 230.276 1 1
87.5125 57.0524 99.5657 1 1
87.9121 175.699 310.825 1 1
88.3117 57.0065 109.25 1 1
88.7113 67.4897 127.385 1 1
89.1109 185 326.297 1 1
89.5105 53.8381 92.6869 1 1
89.9101 140.001 239.046 1 1
90.3097 46.9634 89.1597 1 1
90.7093 106.324 207.094 1 1
91.1089 35.7435 68.816 1 1
91.5085 69.2825 119.274 1 1
91.9081 129.62 224 1 1
92.3077 60.7039 104.995 1 1
92.7073 72.2185 127.459 1 1
93.1069 122.051 231.191 1 1
93.5065 72.0186 133.091 1 1
93.9061 227.576 417.798 1 1
94.3057 151.266 280.973 1 1
94.7053 298.897 556.428 1 1
95.1049 98.4484 183.578 1 1
95.5045 76.4226 148.024 1 1
95.9041 138.655 254.167 1 1
96.3037 89.2606 164.475 1 1
96.7033 186.863 391.68 1 1
97.1029 159.944 284.027 1 1
97.5025 117.175 208.585 1 1
97.9021 118.339 210.483 1 1
98.3017 144.539 257.823 1 1
98.7013 77.35 145.708 1 1
99.1009 80.9912 139.236 1 1
99.5005 40.0343 97.4862 1 1
99.9001 80.7952 156.578 1 1
