# Generated from ../data/13JUL2013/000.dat
time T_rw T_rw_desired T_s T_s_desired
20 0 0 0 0
20.02 0 0 0 0
20.04 0 0 0 0
20.06 0 0 0 0
20.08 0 0 0 0
20.1 0 0 0 0
20.12 0 0 0 0
20.14 0 0 0 0
20.16 0 0 0 0
20.18 0 0 0 0
20.2 0 0 0 0
20.22 0 0 0 0
20.24 0 0 0 0
20.26 0 0 0 0
20.28 0 0 0 0
20.3 0 0 0 0
20.32 0 0 0 0
20.34 0 0 0 0
20.36 0 0 0 0
20.38 0 0 0 0
20.4 0 0 0 0
20.42 0 0 0 0
20.44 0 0 0 0
20.46 0 0 0 0
20.48 0 0 0 0
20.5 0 0 0 0
20.52 0 0 0 0
20.54 0 0 0 0
20.56 0 0 0 0
20.58 0 0 0 0
20.6 0 0 0 0
20.62 0 0 0 0
20.64 0 0 0 0
20.66 0 0 0 0
20.68 0 0 0 0
20.7 0 0 0 0
20.72 0 0 0 0
20.74 0 0 0 0
20.76 0 0 0 0
20.78 0 0 0 0
20.8 0 0 0 0
20.82 0 0 0 0
20.84 0 0 0 0
20.86 0 0 0 0
20.88 -159.72 -297.708 0 0
20.9 -159.72 -297.708 0 0
20.92 -159.72 -297.708 0 0
20.94 -159.72 -295.47 0 0
20.96 -159.72 -291.87 0 0
20.98 -159.72 -288.594 0 0
21 -159.72 -283.995 0 0
21.02 -159.72 -277.684 0 0
21.04 -159.72 -274.766 0 0
21.06 -159.72 -271.524 0 0
21.08 -159.72 -266.419 0 0
21.1 -159.72 -260.996 0 0
21.12 -159.72 -258.049 0 0
21.14 -159.72 -254.231 0 0
21.16 -159.72 -249.671 0 0
21.18 -159.72 -246.307 0 0
21.2 -159.72 -242.722 0 0
21.22 -159.72 -238.411 0 0
21.24 -159.72 -233.338 0 0
21.26 -159.72 -227.409 0 0
21.28 -159.72 -224.458 0 0
21.3 -159.72 -220.5 0 0
21.32 -159.72 -216.416 0 0
21.34 -159.72 -212.671 0 0
21.36 -159.72 -208.272 0 0
21.38 -159.72 -201.826 0 0
21.4 -159.72 -198.216 0 0
21.42 -159.72 -193.055 0 0
21.44 -159.72 -190.321 0 0
21.46 -159.72 -186.424 0 0
21.48 -159.72 -181.532 0 0
21.5 -159.72 -176.636 0 0
21.52 -159.72 -171.912 0 0
21.54 -159.72 -167.988 0 0
21.56 -159.72 -160.785 0 0
21.58 -158.566 -158.566 0 0
21.6 -154.466 -154.466 0 0
21.62 -148.831 -148.831 0 0
21.64 -143.231 -143.231 0 0
21.66 -139.925 -139.925 0 0
21.68 -132.915 -132.915 1.22418 1.22418
21.7 -129.678 -129.678 0.984034 0.984034
21.72 -124.125 -124.125 0.576961 0.576961
21.74 -122.188 -122.188 0.605623 0.605623
21.76 -119.172 -119.172 0.889734 0.889734
21.78 -116.292 -116.292 0.425767 0.425767
21.8 -112.335 -112.335 0.106703 0.106703
21.82 -109.348 -109.348 0.483188 0.483188
21.84 -107.223 -107.223 0.218658 0.218658
21.86 -103.886 -103.886 -0.0452405 -0.0452405
21.88 -101.072 -101.072 0.16793 0.16793
21.9 -97.4625 -97.4625 0.110541 0.110541
