# Generated from ../data/13JUL2013/000.dat
time gyro_x lean_rate_est
20 -0.000578188 0
20.02 -0.00134926 0
20.04 -0.00134447 0
20.06 -0.000537976 0
20.08 0.00975753 0
20.1 0.00399724 0
20.12 0.00529415 0
20.14 0.00782726 0
20.16 0.00186905 0
20.18 0.00711817 0
20.2 0.00564286 0
20.22 0.00444571 0
20.24 0.004844 0
20.26 0.00814051 0
20.28 0.00384219 0
20.3 0.00433223 0
20.32 0.00607141 0
20.34 0.00679076 0
20.36 0.00838999 0
20.38 0.00535097 0
20.4 0.00677945 0
20.42 0.00786265 0
20.44 0.00649725 0
20.46 0.00714709 0
20.48 0.00330393 0
20.5 0.00623159 0
20.52 0.00162881 0
20.54 0.00336855 0
20.56 0.0014372 0
20.58 0.00033371 0
20.6 0.00061629 0
20.62 0.00153308 0
20.64 -0.00173606 0
20.66 -0.000560181 0
20.68 -0.00221946 0
20.7 -0.00837139 0
20.72 -0.00371794 0
20.74 -0.00507939 0
20.76 -0.00621347 0
20.78 -0.00561802 0
20.8 -0.00562838 0
20.82 -0.00935146 0
20.84 -0.00228147 0
20.86 -0.0105534 0
20.88 -0.00921373 0
20.9 -0.00269057 0
20.92 -0.0269491 0
20.94 0.00914857 0
20.96 0.00918005 0
20.98 -0.0314471 0
21 0.00514044 0
21.02 -0.00311518 0
21.04 -0.00477133 0
21.06 -0.0120577 0
21.08 0.00979178 0
21.1 0.013341 0
21.12 -0.0188803 0
21.14 0.00613028 0
21.16 0.012327 0
21.18 -0.00957053 0
21.2 0.00586249 0
21.22 0.00561929 0
21.24 0.0103672 0
21.26 -0.0045432 0
21.28 0.00490672 0
21.3 -0.00647572 0
21.32 -0.00266453 0
21.34 0.00397579 0
21.36 -0.00363509 0
21.38 -0.00219625 0
21.4 -0.00475471 0
21.42 -0.00170709 0
21.44 -0.000725785 0
21.46 0.00141037 0
21.48 0.0011941 0
21.5 0.0028065 0
21.52 -0.00105301 0
21.54 0.0010712 0
21.56 0.011485 0
21.58 0.0209687 0
21.6 0.01479 0
21.62 0.0197894 0.0201988
21.64 0.0245714 0.0248819
21.66 0.027087 0.0289632
21.68 0.0341132 0.0270626
21.7 0.0220022 0.0196715
21.72 0.0180535 0.0107937
21.74 0.00984443 0.00728675
21.76 0.0126653 0.00689786
21.78 -0.00160243 -0.00278579
21.8 -0.0150336 -0.0101363
21.82 0.00283164 -0.00837599
21.84 -0.0147131 -0.0147716
21.86 -0.0179132 -0.0200632
21.88 -0.0134669 -0.0184092
21.9 -0.0167196 -0.0204062
21.92 -0.0207303 -0.0243261
21.94 -0.0205229 -0.0249877
21.96 -0.015986 -0.0227359
21.98 -0.025095 -0.0257445
22 -0.0154801 -0.0236587
22.02 -0.0118777 -0.0202449
22.04 -0.0291193 -0.0250027
22.06 -0.0264676 -0.0272751
22.08 -0.0179072 -0.0231319
22.1 -0.0112743 -0.0156649
22.12 -0.0219556 -0.0174767
22.14 -0.0193416 -0.0196344
22.16 -0.014018 -0.01797
22.18 -0.012624 -0.0152196
22.2 -0.0170632 -0.0130028
22.22 -0.0101665 -0.0144218
22.24 -0.0197865 -0.0160957
22.26 -0.0140289 -0.0130997
22.28 -0.00854165 -0.0110757
22.3 -0.0108408 -0.00947354
22.32 -0.0162461 -0.011317
22.34 -0.0078365 -0.00914474
22.36 -0.010519 -0.0113034
22.38 -0.00673799 -0.0101576
22.4 -0.00927932 -0.00826998
22.42 -0.0129407 -0.0101999
22.44 -0.0100638 -0.010523
22.46 -0.00729357 -0.00749933
22.48 -0.00614726 -0.00771003
22.5 -0.00402403 -0.00785823
22.52 -0.00569161 -0.00469218
22.54 -0.00432888 -0.0037979
22.56 -0.00472728 -0.00490955
22.58 -0.00248401 -0.00313864
22.6 -0.00506269 -0.00339547
22.62 -0.00507042 -0.00424807
22.64 0.00128503 -0.0036605
22.66 0.00386743 0.000620155
22.68 -0.00245429 -0.000566319
22.7 -0.00542973 -0.00446343
22.72 0.00607737 -0.000622137
22.74 -0.00048097 -0.000737576
22.76 -0.00679446 -0.00418861
22.78 0.000186797 -0.00356865
22.8 0.00409442 0.0013999
22.82 -0.00516283 -0.00237524
22.84 0.00345905 -0.00230161
22.86 0.0121039 0.0040533
22.88 -0.00487867 -0.00114168
22.9 -0.00489403 -0.00484726
22.92 0.00762321 0.00181126
22.94 -0.00591695 0.000342797
22.96 -0.000783388 -0.0038682
22.98 0.00946651 0.00120766
23 -0.0011208 0.00148406
23.02 -0.00769913 -0.00346843
23.04 0.0132917 0.00176244
23.06 4.38705e-05 0.00170417
23.08 -0.0024218 -0.00215074
23.1 0.00621531 0.000227992
23.12 0.00639362 0.00450565
23.14 -0.00553209 -0.00134004
23.16 0.00782183 -0.000251285
23.18 0.0101943 0.00606576
23.2 -0.00113368 0.00149174
23.22 -0.00334123 -0.00371341
23.24 0.00522825 0.0014698
23.26 -0.00892532 -0.00161077
