# Generated from ../data/13JUL2013/000.dat
time hw_button steer steer_est v v_c
20 0 0.000628319 0 0 0
20.02 0 0.000628319 0 0 0
20.04 0 0.000628319 0 0 0
20.06 0 0.000628319 0 0 0
20.08 0 0.000628319 0 0 0
20.1 0 0.000628319 0 0 0
20.12 0 0.000628319 0 0 0
20.14 0 0.000628319 0 0 0
20.16 0 0.000628319 0 0 0
20.18 0 0.000628319 0 0 0
20.2 0 0.000628319 0 0 0
20.22 0 0.000628319 0 0 0
20.24 0 0.000628319 0 0 0
20.26 0 0.000628319 0 0 0
20.28 0 0.000628319 0 0 0
20.3 0 0.000628319 0 0 0
20.32 0 0.000628319 0 0 0
20.34 0 0.000628319 0 0 0
20.36 0 0.000628319 0 0 0
20.38 0 0.000628319 0 0 0
20.4 0 0.000628319 0 0 0
20.42 0 0.000628319 0 0 0
20.44 0 0.000628319 0 0 0
20.46 0 0.000628319 0 0 0
20.48 0 0.000628319 0 0 0
20.5 0 0.000628319 0 0 0
20.52 0 0.000628319 0 0 0
20.54 0 0.000628319 0 0 0
20.56 0 0.000628319 0 0 0
20.58 0 0.000628319 0 0 0
20.6 0 0.000628319 0 0 0
20.62 0 0.000628319 0 0 0
20.64 0 0.000628319 0 0 0
20.66 0 0.000628319 0 0 0
20.68 0 0.000628319 0 0 0
20.7 0 0.000628319 0 0 0
20.72 0 0.000628319 0 0 0
20.74 0 0.000628319 0 0 0
20.76 0 0.000628319 0 0 0
20.78 0 0.000628319 0 0 0
20.8 0 0.000628319 0 0 0
20.82 0 0.000628319 0 0 0
20.84 0 0.000628319 0 0 0
20.86 0 0.000628319 0 0 0
20.88 0 0.000628319 0 0 2
20.9 0 0.000942478 0 0 2
20.92 0 0.000314159 0 0 2
20.94 0 0 0 0.0150332 2
20.96 0 -0.000628319 0 0.039216 2
20.98 0 -0.0015708 0 0.0612286 2
21 0 -0.00282743 0 0.0921241 2
21.02 0 -0.00376991 0 0.134519 2
21.04 0 -0.00471239 0 0.154121 2
21.06 0 -0.00534071 0 0.175905 2
21.08 0 -0.00565487 0 0.210194 2
21.1 0 -0.00565487 0 0.246628 2
21.12 0 -0.00565487 0 0.266429 2
21.14 0 -0.00565487 0 0.292078 2
21.16 0 -0.00565487 0 0.322708 2
21.18 0 -0.00596903 0 0.345307 2
21.2 0 -0.00659734 0 0.369392 2
21.22 0 -0.00722566 0 0.398352 2
21.24 0 -0.00816814 0 0.432435 2
21.26 0 -0.00911062 0 0.472269 2
21.28 0 -0.00942478 0 0.492089 2
21.3 0 -0.00973894 0 0.518681 2
21.32 0 -0.0103673 0 0.54612 2
21.34 0 -0.0116239 0 0.571277 2
21.36 0 -0.0125664 0 0.60083 2
21.38 0 -0.0131947 0 0.644133 2
21.4 0 -0.013823 0 0.668387 2
21.42 0 -0.0144513 0 0.703056 2
21.44 0 -0.0150796 0 0.721421 2
21.46 0 -0.0163363 0 0.747604 2
21.48 0 -0.0179071 0 0.78047 2
21.5 0 -0.0194779 0 0.81336 2
21.52 0 -0.0210487 0 0.845092 2
21.54 0 -0.0219911 0 0.871458 2
21.56 1 -0.0232478 0 0.919844 2
21.58 1 -0.0245044 0 0.934805 2
21.6 1 -0.0263894 0 0.962549 2
21.62 1 -0.0279602 -0.0283362 1.0006 2
21.64 1 -0.029531 -0.0298947 1.03841 2
21.66 1 -0.0311018 -0.0315665 1.0608 2
21.68 1 -0.0270177 -0.0296643 1.10806 2
21.7 1 -0.0232478 -0.0236367 1.12998 2
21.72 1 -0.0175929 -0.0154778 1.16744 2
21.74 1 -0.0122522 -0.00757217 1.18062 2
21.76 1 -0.00534071 0.000483854 1.20103 2
21.78 1 0.00345575 0.0098494 1.22053 2
21.8 1 0.0131947 0.0197381 1.24725 2
21.82 1 0.021677 0.028895 1.26747 2
21.84 1 0.0289027 0.0371767 1.28188 2
21.86 1 0.0348717 0.0438716 1.30443 2
21.88 1 0.0398982 0.0488006 1.32347 2
21.9 1 0.0458673 0.0535824 1.34784 2
21.92 1 0.0508938 0.0580461 1.35711 2
21.94 1 0.0537212 0.0611452 1.38073 2
21.96 1 0.0549779 0.0624861 1.40387 2
21.98 1 0.0549779 0.062504 1.41624 2
22 1 0.0549779 0.0614665 1.44202 2
22.02 1 0.055292 0.0604419 1.46196 2
22.04 1 0.0556062 0.0599442 1.46651 2
22.06 1 0.0537212 0.0582521 1.49133 2
22.08 1 0.0502655 0.0545234 1.502 2
22.1 1 0.047438 0.0504313 1.51529 2
22.12 1 0.0458673 0.0477259 1.53424 2
22.14 1 0.0442965 0.0456471 1.54924 2
22.16 1 0.0420973 0.0431642 1.55346 2
22.18 1 0.0389557 0.0400701 1.57695 2
22.2 1 0.0361283 0.0370281 1.60223 2
22.22 1 0.0342434 0.0346187 1.60828 2
22.24 1 0.0326726 0.0323656 1.62373 2
22.26 1 0.0304734 0.0300891 1.63429 2
22.28 1 0.0273319 0.0274464 1.64453 2
22.3 1 0.0248186 0.0248858 1.65043 2
22.32 1 0.0229336 0.0226924 1.66176 2
22.34 1 0.0219911 0.0211513 1.6684 2
22.36 1 0.0204204 0.0198131 1.67502 2
22.38 1 0.0185354 0.0180103 1.68717 2
22.4 1 0.0163363 0.0160115 1.69551 2
22.42 1 0.0144513 0.0140479 1.70513 2
22.44 1 0.0125664 0.0119984 1.7156 2
22.46 1 0.0109956 0.00998596 1.7303 2
22.48 1 0.00879646 0.00791793 1.73812 2
22.5 1 0.00628319 0.00553261 1.73349 2
22.52 1 0.00376991 0.00299354 1.75634 2
22.54 1 0.00219911 0.00112738 1.75512 2
22.56 1 0.000942478 -0.000329796 1.75454 2
22.58 1 0 -0.00139762 1.76848 2
22.6 1 -0.00125664 -0.00232195 1.77228 2
22.62 1 -0.00251327 -0.00324317 1.77587 2
22.64 1 -0.00345575 -0.0042871 1.78717 2
22.66 1 -0.00376991 -0.00495985 1.78721 2
