# Generated from ../data/13JUL2013/000.dat
time steer steer_est v v_c
20 0.000628319 0 0 0
20.005 0.000628319 0 0 0
20.01 0.000628319 0 0 0
20.015 0.000628319 0 0 0
20.02 0.000628319 0 0 0
20.025 0.000628319 0 0 0
20.03 0.000628319 0 0 0
20.035 0.000628319 0 0 0
20.04 0.000628319 0 0 0
20.045 0.000628319 0 0 0
20.05 0.000628319 0 0 0
20.055 0.000628319 0 0 0
20.06 0.000628319 0 0 0
20.065 0.000628319 0 0 0
20.07 0.000628319 0 0 0
20.075 0.000628319 0 0 0
20.08 0.000628319 0 0 0
20.085 0.000628319 0 0 0
20.09 0.000628319 0 0 0
20.095 0.000628319 0 0 0
20.1 0.000628319 0 0 0
20.105 0.000628319 0 0 0
20.11 0.000628319 0 0 0
20.115 0.000628319 0 0 0
20.12 0.000628319 0 0 0
20.125 0.000628319 0 0 0
20.13 0.000628319 0 0 0
20.135 0.000628319 0 0 0
20.14 0.000628319 0 0 0
20.145 0.000628319 0 0 0
20.15 0.000628319 0 0 0
20.155 0.000628319 0 0 0
20.16 0.000628319 0 0 0
20.165 0.000628319 0 0 0
20.17 0.000628319 0 0 0
20.175 0.000628319 0 0 0
20.18 0.000628319 0 0 0
20.185 0.000628319 0 0 0
20.19 0.000628319 0 0 0
20.195 0.000628319 0 0 0
20.2 0.000628319 0 0 0
20.205 0.000628319 0 0 0
20.21 0.000628319 0 0 0
20.215 0.000628319 0 0 0
20.22 0.000628319 0 0 0
20.225 0.000628319 0 0 0
20.23 0.000628319 0 0 0
20.235 0.000628319 0 0 0
20.24 0.000628319 0 0 0
20.245 0.000628319 0 0 0
20.25 0.000628319 0 0 0
20.255 0.000628319 0 0 0
20.26 0.000628319 0 0 0
20.265 0.000628319 0 0 0
20.27 0.000628319 0 0 0
20.275 0.000628319 0 0 0
20.28 0.000628319 0 0 0
20.285 0.000628319 0 0 0
20.29 0.000628319 0 0 0
20.295 0.000628319 0 0 0
20.3 0.000628319 0 0 0
20.305 0.000628319 0 0 0
20.31 0.000628319 0 0 0
20.315 0.000628319 0 0 0
20.32 0.000628319 0 0 0
20.325 0.000628319 0 0 0
20.33 0.000628319 0 0 0
20.335 0.000628319 0 0 0
20.34 0.000628319 0 0 0
20.345 0.000628319 0 0 0
20.35 0.000628319 0 0 0
20.355 0.000628319 0 0 0
20.36 0.000628319 0 0 0
20.365 0.000628319 0 0 0
20.37 0.000628319 0 0 0
20.375 0.000628319 0 0 0
20.38 0.000628319 0 0 0
20.385 0.000628319 0 0 0
20.39 0.000628319 0 0 0
20.395 0.000628319 0 0 0
20.4 0.000628319 0 0 0
20.405 0.000628319 0 0 0
20.41 0.000628319 0 0 0
20.415 0.000628319 0 0 0
20.42 0.000628319 0 0 0
20.425 0.000628319 0 0 0
20.43 0.000628319 0 0 0
20.435 0.000628319 0 0 0
20.44 0.000628319 0 0 0
20.445 0.000628319 0 0 0
20.45 0.000628319 0 0 0
20.455 0.000628319 0 0 0
20.46 0.000628319 0 0 0
20.465 0.000628319 0 0 0
20.47 0.000628319 0 0 0
20.475 0.000628319 0 0 0
20.48 0.000628319 0 0 0
20.485 0.000628319 0 0 0
20.49 0.000628319 0 0 0
20.495 0.000628319 0 0 0
20.5 0.000628319 0 0 0
20.505 0.000628319 0 0 0
20.51 0.000628319 0 0 0
20.515 0.000628319 0 0 0
20.52 0.000628319 0 0 0
20.525 0.000628319 0 0 0
20.53 0.000628319 0 0 0
20.535 0.000628319 0 0 0
20.54 0.000628319 0 0 0
20.545 0.000628319 0 0 0
20.55 0.000628319 0 0 0
20.555 0.000628319 0 0 0
20.56 0.000628319 0 0 0
20.565 0.000628319 0 0 0
20.57 0.000628319 0 0 0
20.575 0.000628319 0 0 0
20.58 0.000628319 0 0 0
20.585 0.000628319 0 0 0
20.59 0.000628319 0 0 0
20.595 0.000628319 0 0 0
20.6 0.000628319 0 0 0
20.605 0.000628319 0 0 0
20.61 0.000628319 0 0 0
20.615 0.000628319 0 0 0
20.62 0.000628319 0 0 0
20.625 0.000628319 0 0 0
20.63 0.000628319 0 0 0
20.635 0.000628319 0 0 0
20.64 0.000628319 0 0 0
20.645 0.000628319 0 0 0
20.65 0.000628319 0 0 0
20.655 0.000628319 0 0 0
20.66 0.000628319 0 0 0
20.665 0.000628319 0 0 0
20.67 0.000628319 0 0 0
20.675 0.000628319 0 0 0
20.68 0.000628319 0 0 0
20.685 0.000628319 0 0 0
20.69 0.000628319 0 0 0
20.695 0.000628319 0 0 0
20.7 0.000628319 0 0 0
20.705 0.000628319 0 0 0
20.71 0.000628319 0 0 0
20.715 0.000628319 0 0 0
20.72 0.000628319 0 0 0
20.725 0.000628319 0 0 0
20.73 0.000628319 0 0 0
20.735 0.000628319 0 0 0
20.74 0.000628319 0 0 0
20.745 0.000628319 0 0 0
20.75 0.000628319 0 0 0
20.755 0.000628319 0 0 0
20.76 0.000628319 0 0 0
20.765 0.000628319 0 0 0
20.77 0.000628319 0 0 0
20.775 0.000628319 0 0 0
20.78 0.000628319 0 0 0
20.785 0.000628319 0 0 0
20.79 0.000628319 0 0 0
20.795 0.000628319 0 0 0
20.8 0.000628319 0 0 0
20.805 0.000628319 0 0 0
20.81 0.000628319 0 0 0
20.815 0.000628319 0 0 0
20.82 0.000628319 0 0 0
20.825 0.000628319 0 0 0
20.83 0.000628319 0 0 0
20.835 0.000628319 0 0 0
20.84 0.000628319 0 0 0
20.845 0.000628319 0 0 0
20.85 0.000628319 0 0 0
20.855 0.000628319 0 0 0
20.86 0.000628319 0 0 0
20.865 0.000628319 0 0 0
20.87 0.000628319 0 0 0
20.875 0.000628319 0 0 0
20.88 0.000628319 0 0 2
20.885 0.000628319 0 0 2
20.89 0.000628319 0 0 2
20.895 0.000942478 0 0 2
20.9 0.000942478 0 0 2
20.905 0.000942478 0 0 2
20.91 0.000628319 0 0 2
20.915 0.000628319 0 0 2
20.92 0.000314159 0 0 2
20.925 0.000314159 0 0 2
20.93 0.000314159 0 0 2
20.935 0 0 0.0102863 2
20.94 0 0 0.0150332 2
20.945 0 0 0.0184915 2
20.95 -0.000314159 0 0.0210106 2
20.955 -0.000314159 0 0.0331323 2
