# Generated from ../data/13JUL2013/000.dat
time steer_rate steer_rate_est
20 7.45058e-09 0
20.02 7.45058e-09 0
20.04 7.45058e-09 0
20.06 7.45058e-09 0
20.08 7.45058e-09 0
20.1 7.45058e-09 0
20.12 7.45058e-09 0
20.14 7.45058e-09 0
20.16 7.45058e-09 0
20.18 7.45058e-09 0
20.2 7.45058e-09 0
20.22 7.45058e-09 0
20.24 7.45058e-09 0
20.26 7.45058e-09 0
20.28 7.45058e-09 0
20.3 7.45058e-09 0
20.32 7.45058e-09 0
20.34 7.45058e-09 0
20.36 7.45058e-09 0
20.38 7.45058e-09 0
20.4 7.45058e-09 0
20.42 7.45058e-09 0
20.44 7.45058e-09 0
20.46 7.45058e-09 0
20.48 7.45058e-09 0
20.5 7.45058e-09 0
20.52 7.45058e-09 0
20.54 7.45058e-09 0
20.56 7.45058e-09 0
20.58 7.45058e-09 0
20.6 7.45058e-09 0
20.62 7.45058e-09 0
20.64 7.45058e-09 0
20.66 7.45058e-09 0
20.68 7.45058e-09 0
20.7 7.45058e-09 0
20.72 7.45058e-09 0
20.74 7.45058e-09 0
20.76 7.45058e-09 0
20.78 7.45058e-09 0
20.8 7.45058e-09 0
20.82 7.45058e-09 0
20.84 7.45058e-09 0
20.86 7.45058e-09 0
20.88 7.45058e-09 0
20.9 0.0124277 0
20.92 -0.0226128 0
20.94 -0.0187963 0
20.96 -0.0314067 0
20.98 -0.047386 0
21 -0.0584817 0
21.02 -0.049179 0
21.04 -0.0419272 0
21.06 -0.0308314 0
21.08 -0.0177368 0
21.1 -0.00499538 0
21.12 -0.00140691 0
21.14 -0.000396281 0
21.16 -0.00011161 0
21.18 -0.00908485 0
21.2 -0.0286716 0
21.22 -0.0295562 0
21.24 -0.0364006 0
21.26 -0.0429601 0
21.28 -0.0291588 0
21.3 -0.0252718 0
21.32 -0.0285987 0
21.34 -0.0531904 0
21.36 -0.0535212 0
21.38 -0.0411866 0
21.4 -0.0306228 0
21.42 -0.0276477 0
21.44 -0.0268097 0
21.46 -0.0526866 0
21.48 -0.0724022 0
21.5 -0.0745807 0
21.52 -0.0727364 0
21.54 -0.0485619 0
21.56 -0.058813 0
21.58 -0.0617001 0
21.6 -0.0861679 0
21.62 -0.0818321 -0.084064
21.64 -0.0806109 -0.090909
21.66 -0.080267 -0.0978982
21.68 0.113558 0.102474
21.7 0.183687 0.331654
21.72 0.25839 0.473606
21.74 0.265744 0.548845
21.76 0.334643 0.63699
21.78 0.420664 0.713009
21.8 0.467135 0.706628
21.82 0.430456 0.691747
21.84 0.374989 0.696138
21.86 0.318864 0.630987
21.88 0.270349 0.56799
21.9 0.292767 0.539265
21.92 0.262998 0.474606
21.94 0.162932 0.398794
21.96 0.0885661 0.347949
21.98 0.0249441 0.284351
22 0.00702572 0.20005
22.02 0.0110323 0.173233
22.04 0.00970268 0.15393
22.06 -0.0718901 0.0629741
22.08 -0.149059 -0.0289258
22.1 -0.141306 -0.0415302
22.12 -0.0973606 -0.0219641
22.14 -0.0896158 -0.0475847
22.16 -0.108916 -0.0830034
22.18 -0.142428 -0.0997485
22.2 -0.13698 -0.0829289
22.22 -0.105196 -0.0902998
22.24 -0.0838166 -0.110649
22.26 -0.104824 -0.122261
22.28 -0.143449 -0.1205
22.3 -0.130673 -0.102808
22.32 -0.100961 -0.09883
22.34 -0.0611429 -0.0919351
22.36 -0.0794156 -0.0949127
22.38 -0.0889837 -0.110666
22.4 -0.102906 -0.0989847
22.42 -0.0931411 -0.101409
22.44 -0.0950229 -0.123409
22.46 -0.0843258 -0.129227
22.48 -0.101594 -0.130467
22.5 -0.118885 -0.147715
22.52 -0.123754 -0.142281
22.54 -0.0970495 -0.118474
22.56 -0.0724689 -0.112831
22.58 -0.0564926 -0.100451
22.6 -0.0610465 -0.0820074
22.62 -0.062329 -0.0719041
22.64 -0.0502626 -0.0846154
22.66 -0.0207513 -0.0597093
22.68 -0.00584437 -0.0104867
22.7 -0.027759 -0.00869774
22.72 -0.033931 -0.00899642
22.74 -0.0356692 0.017733
22.76 -0.0100459 0.0194699
22.78 -0.0198888 -0.0060308
22.8 -0.0056015 0.0141933
22.82 -0.0120418 0.042209
22.84 -0.0158192 0.027333
22.86 -0.0110506 0.0495622
22.88 -0.00311229 0.0812413
22.9 0.00817683 0.0519664
22.92 0.00230289 0.046773
22.94 0.000648588 0.0835505
22.96 0.000182658 0.064747
22.98 -0.00900197 0.0525613
23 -0.00253531 0.0839683
23.02 -0.000714034 0.0764151
23.04 0.0122265 0.0594207
23.06 0.00344345 0.0916063
23.08 0.000969797 0.0917236
23.1 0.0173327 0.0738458
23.12 0.021941 0.109213
23.14 0.0186071 0.123819
23.16 0.00524047 0.100776
23.18 0.0185354 0.130142
23.2 0.0267014 0.169723
23.22 0.0265431 0.138919
23.24 0.0311304 0.127119
23.26 0.0211952 0.138527
23.28 0.00596939 0.10232
23.3 0.0107346 0.0923372
23.32 0.015451 0.127074
23.34 0.00435159 0.130403
23.36 0.00122558 0.113726
23.38 0.0127728 0.130795
23.4 0.0316737 0.14699
23.42 0.0245693 0.136558
23.44 0.013515 0.124334
23.46 0.00380636 0.110918
23.48 0.00107202 0.104031
23.5 0.0239568 0.101377
23.52 0.0191748 0.0965893
23.54 0.00540039 0.100665
23.56 0.00152096 0.10229
23.58 -0.00862506 0.0813855
23.6 -0.0114826 0.0591998
23.62 0.0138256 0.0556765
23.64 0.00389382 0.0617426
23.66 0.00109665 0.0704022
23.68 -0.00628646 0.074707
23.7 -0.00177051 0.0631158
23.72 0.0165609 0.0749949
23.74 0.0112595 0.0919653
23.76 -0.00266122 0.0550388
23.78 -0.00980293 0.037481
23.8 -0.00276089 0.0721392
23.82 0.00581775 0.07479
23.84 -0.00495682 0.0547765
23.86 -0.00139603 0.0872369
23.88 -0.000393175 0.0994049
23.9 -0.000110734 0.0704756
23.92 -0.00662651 0.0714741
23.94 0.0105614 0.0764334
23.96 0.0029745 0.081476
23.98 0.00083774 0.109739
24 -0.0121917 0.105657
24.02 0.0136258 0.0874124
24.04 0.0333247 0.121443
24.06 0.0284085 0.128728
24.08 0.00800097 0.0897496
24.1 0.00225339 0.10257
24.12 0.0176942 0.125052
24.14 0.00498338 0.0984305
24.16 0.00140353 0.0837508
24.18 0.012823 0.105109
24.2 0.0126649 0.120925
24.22 0.00356692 0.13337
24.24 0.00100459 0.13138
