# Generated from ../data/13JUL2013/007.dat
time T_s gyro_x steer v
21 0.135178 0.00732083 -0.00251327 3.99778
21.005 0.0974232 0.00253428 -0.00251327 4.00837
21.01 0.0666786 0.00179952 -0.00251327 4.00305
21.015 0.0986739 0.00894292 -0.00251327 4.00192
21.02 0.116957 0.00765472 -0.00219911 4.01138
21.025 0.130137 0.00760021 -0.00219911 4.00524
21.03 0.103196 0.00200866 -0.00188496 4.00351
21.035 0.099003 0.00385074 -0.00188496 4.00226
21.04 0.100264 0.00413403 -0.00188496 4.01163
21.045 0.0962003 0.00331591 -0.00188496 4.00542
21.05 0.117163 0.00600151 -0.0015708 4.00365
21.055 0.0912542 9.1196e-05 -0.0015708 4.01264
21.06 0.0670768 -0.000882193 -0.0015708 4.00616
21.065 0.0772935 0.00249918 -0.0015708 4.01447
21.07 0.122585 0.00800034 -0.00188496 4.00749
21.075 0.0941202 -0.000576808 -0.00188496 4.00515
21.08 0.122572 0.00586875 -0.00188496 4.01374
21.085 0.13804 0.00519664 -0.00188496 4.00696
21.09 0.116785 0.000915839 -0.00219911 4.01505
21.095 0.110491 0.0020762 -0.00219911 4.00792
21.1 0.144402 0.00722843 -0.00219911 4.00546
21.105 0.156408 0.00541508 -0.00219911 4.01396
21.11 0.122124 -0.00046099 -0.00219911 4.00712
21.115 0.154944 0.00732626 -0.00219911 4.00489
21.12 0.07155 -0.00754517 -0.00219911 4.00326
21.125 0.0727513 0.000952056 -0.00251327 4.00207
21.13 0.0621442 -0.00096272 -0.00251327 4.01149
21.135 0.0392132 -0.00325593 -0.00251327 4.00532
21.14 0.0454803 -0.000572771 -0.00251327 4.01386
21.145 0.0575915 0.000328158 -0.00251327 4.00705
21.15 0.101622 0.004974 -0.00251327 4.00483
21.155 0.137907 0.00544124 -0.00251327 4.0135
21.16 0.141026 0.00239572 -0.00251327 4.00679
21.165 0.165645 0.0053528 -0.00251327 4.01493
21.17 0.194142 0.0070424 -0.00251327 4.00782
21.175 0.155446 -0.00105786 -0.00251327 4.0054
21.18 0.162503 0.00410539 -0.00282743 4.00363
21.185 0.11456 -0.00323803 -0.00282743 4.00234
21.19 0.0897938 -0.00169035 -0.00314159 4.0014
21.195 0.0564523 -0.00367433 -0.00345575 4.00072
21.2 0.0648374 0.000549362 -0.00345575 4.00022
21.205 0.108353 0.00558427 -0.00345575 3.99986
21.21 0.0624495 -0.00519059 -0.00345575 3.99959
21.215 0.0949285 0.00403294 -0.00376991 3.9994
21.22 0.102871 0.0018293 -0.00376991 3.99926
21.225 0.187043 0.0126953 -0.00376991 3.99916
21.23 0.279454 0.0170397 -0.00345575 3.99908
21.235 0.287659 0.00951461 -0.00345575 3.98874
21.24 0.306636 0.0116447 -0.00345575 3.99424
21.245 0.271117 0.00487616 -0.00314159 3.9955
21.25 0.284412 0.0106304 -0.00314159 3.98613
21.255 0.245699 0.00416449 -0.00314159 3.99234
21.26 0.210494 0.00332908 -0.00314159 3.99412
21.265 0.127133 -0.00468953 -0.00314159 3.99541
21.27 0.091201 -0.00154864 -0.00314159 3.99635
21.275 0.0553608 -0.00323088 -0.00314159 4.00733
21.28 0.0572689 0.000402694 -0.00314159 4.00229
21.285 0.141266 0.0116374 -0.00314159 4.00136
21.29 0.230839 0.0158156 -0.00314159 4.00069
21.295 0.24897 0.0097218 -0.00314159 4.0002
21.3 0.2525 0.00867568 -0.00314159 3.99984
21.305 0.257011 0.00883447 -0.00282743 3.99958
21.31 0.286118 0.0127007 -0.00282743 3.99939
21.315 0.297262 0.0113335 -0.00251327 3.99925
