# Generated from ../data/13JUL2013/024.dat
freq T_s gyro_x steer steer_rate v
0 1 0.00658529 0.0764038 0.00722505 9.40362
0.0198098 1 0.0188081 0.0916158 0.0147108 5.63919
0.0396196 1 0.271487 0.118456 0.06716 18.5708
0.0594295 1 0.0640044 0.144139 0.0399303 3.28952
0.0792393 1 0.489745 0.402449 0.218721 17.9573
0.0990491 1 0.0848585 0.235984 0.1359 1.87959
0.118859 1 0.104598 0.116477 0.101739 2.94865
0.138669 1 0.163966 0.0982366 0.069045 1.70727
0.158479 1 0.404559 0.444468 0.424405 7.1609
0.178288 1 0.27967 0.219856 0.279404 1.79847
0.198098 1 0.206599 0.0651442 0.077106 2.38655
0.217908 1 0.273909 0.0856385 0.115226 0.921371
0.237718 1 0.429083 0.148492 0.189228 2.3342
0.257528 1 0.277283 0.103057 0.176893 0.549585
0.277338 1 0.357099 0.0523874 0.07351 0.641429
0.297147 1 0.541503 0.244199 0.429737 1.16213
0.316957 1 0.393809 0.0228129 0.059222 0.26886
0.336767 1 0.306367 0.360342 0.762539 0.797837
0.356577 1 0.546678 0.160268 0.38846 0.900327
0.376387 1 1.32941 1.24313 2.96569 3.44149
0.396196 1 0.158224 0.189752 0.464473 0.373112
0.416006 1 0.194731 0.121506 0.295024 0.343087
0.435816 1 0.118417 0.0725585 0.209934 0.432301
0.455626 1 0.131853 0.328549 0.921876 0.110557
0.475436 1 0.183076 0.0300323 0.0791528 0.612635
0.495246 1 0.166483 0.26467 0.822469 0.119503
0.515055 1 0.315612 0.237877 0.782402 0.661874
0.534865 1 0.184047 0.0725003 0.2231 0.284188
0.554675 1 0.131216 0.297651 1.03243 0.178558
0.574485 1 0.0773438 0.202908 0.728267 0.0759263
0.594295 1 0.0326535 0.107597 0.4075 0.0731687
0.614105 1 0.0892438 0.0714427 0.270224 0.266902
0.633914 1 0.0693619 0.140464 0.540084 0.187199
0.653724 1 0.234304 0.137409 0.572287 0.315635
0.673534 1 0.119414 0.12743 0.525004 0.203374
0.693344 1 0.734437 0.515456 2.26108 0.592247
0.713154 1 0.0990596 0.123211 0.541334 0.152625
0.732963 1 0.100612 0.18184 0.839582 0.0565713
0.752773 1 0.111947 0.0957846 0.454046 0.211539
0.772583 1 0.0816949 0.153982 0.738948 0.0550371
0.792393 1 0.178289 0.200646 1.01517 0.31037
0.812203 1 0.214757 0.253046 1.34033 0.379764
0.832013 1 0.0965468 0.186626 0.975991 0.139325
0.851822 1 0.0395221 0.053743 0.276621 0.0854868
0.871632 1 0.30112 0.274291 1.52596 0.482995
0.891442 1 0.0426654 0.0719885 0.405343 0.0870602
0.911252 1 0.117098 0.13093 0.742374 0.12044
0.931062 1 0.10714 0.115644 0.690461 0.12121
0.950872 1 0.107337 0.136861 0.809818 0.0743459
0.970681 1 0.0622525 0.139053 0.849867 0.0345607
0.990491 1 0.163936 0.25952 1.6283 0.206479
1.0103 1 0.0606968 0.115077 0.726476 0.0096542
1.03011 1 0.0404582 0.106927 0.687564 0.00887811
1.04992 1 0.0489568 0.104752 0.688677 0.0090019
1.06973 1 0.0800785 0.109386 0.727663 0.0312916
1.08954 1 0.035872 0.0889895 0.610486 0.0384989
1.10935 1 0.0671061 0.0671467 0.46047 0.0466073
1.12916 1 0.0552172 0.0765271 0.535797 0.0333848
1.14897 1 0.0481886 0.0974889 0.698409 0.0147103
1.16878 1 0.071442 0.129088 0.948984 0.0628214
1.18859 1 0.0258611 0.0789847 0.589354 0.0480827
1.2084 1 0.101031 0.103158 0.775748 0.0566734
1.22821 1 0.0358415 0.0801704 0.619713 0.0972532
1.24802 1 0.160987 0.0357611 0.261949 0.14056
1.26783 1 0.0875952 0.0331383 0.250909 0.0737977
1.28764 1 0.108809 0.120036 0.959467 0.0847973
1.30745 1 0.109196 0.186377 1.55443 0.204654
1.32726 1 0.0636402 0.073845 0.599881 0.0744636
1.34707 1 0.171107 0.129213 1.07082 0.270827
1.36688 1 0.0506042 0.0792743 0.674612 0.0491675
1.38669 1 0.0707977 0.0409792 0.355871 0.0394988
1.4065 1 0.0974987 0.0829762 0.709019 0.107243
1.42631 1 0.148855 0.209459 1.83591 0.11648
1.44612 1 0.154841 0.187452 1.67563 0.158795
1.46593 1 0.012468 0.0715704 0.664262 0.0555004
1.48574 1 0.0516599 0.0814247 0.748796 0.0323393
1.50555 1 0.066467 0.0692737 0.645404 0.0201693
1.52536 1 0.0394167 0.0569463 0.545195 0.036403
1.54517 1 0.0826941 0.0550431 0.523167 0.0545643
1.56498 1 0.0395213 0.0491093 0.479462 0.041334
1.58479 1 0.03699 0.0689532 0.670974 0.0607405
1.6046 1 0.0441089 0.0634345 0.621283 0.0510392
1.62441 1 0.0370094 0.0649644 0.658348 0.0440848
1.64422 1 0.0685002 0.0890005 0.9037 0.071206
1.66403 1 0.0567538 0.0261786 0.280442 0.0402333
1.68384 1 0.194164 0.0914007 0.917572 0.231106
1.70364 1 0.0529844 0.056094 0.594566 0.0744271
1.72345 1 0.189657 0.0903043 0.90079 0.310036
1.74326 1 0.0889821 0.00951826 0.133891 0.114089
1.76307 1 0.0234663 0.0403684 0.422364 0.0720198
1.78288 1 0.0909637 0.0867549 0.989851 0.183907
1.80269 1 0.0404699 0.0201831 0.205707 0.0866407
1.8225 1 0.0861151 0.0691731 0.760297 0.0910095
1.84231 1 0.0301022 0.0197114 0.239964 0.0609192
1.86212 1 0.0643712 0.032493 0.370803 0.091751
1.88193 1 0.0307599 0.0739426 0.846264 0.128298
1.90174 1 0.0447436 0.0470142 0.541034 0.105333
1.92155 1 0.111302 0.0787335 0.983595 0.265387
1.94136 1 0.0402217 0.0440494 0.523912 0.0467471
1.96117 1 0.0405024 0.0298052 0.356719 0.0999551
1.98098 1 0.0055879 0.0308401 0.391532 0.0331427
2.00079 1 0.0675103 0.0261116 0.312066 0.132617
2.0206 1 0.0152237 0.0500988 0.639257 0.0471407
2.04041 1 0.0165513 0.0510284 0.659804 0.0825154
2.06022 1 0.00576708 0.0225793 0.268321 0.0706602
2.08003 1 0.0439244 0.0270528 0.359066 0.0894372
2.09984 1 0.265712 0.256558 3.39311 0.28471
2.11965 1 0.0293701 0.0199653 0.260586 0.0636092
2.13946 1 0.224575 0.0937303 1.336 0.324352
2.15927 1 0.00952425 0.0360292 0.485189 0.0536631
2.17908 1 0.00761992 0.0421234 0.563392 0.095362
2.19889 1 0.00959755 0.00324293 0.0192579 0.128087
2.2187 1 0.0228334 0.0207918 0.275119 0.0783798
2.23851 1 0.0830524 0.114883 1.5463 0.19652
2.25832 1 0.0148788 0.0175061 0.22169 0.0566836
2.27813 1 0.0237443 0.0315844 0.409056 0.129811
2.29794 1 0.0151502 0.0291847 0.401012 0.0532669
2.31775 1 0.0401674 0.0457587 0.63627 0.161543
2.33756 1 0.0104108 0.0132597 0.185057 0.120778
2.35737 1 0.0344997 0.034166 0.446129 0.0902451
2.37718 1 0.05374 0.0725562 0.992513 0.199274
2.39699 1 0.0136163 0.0193228 0.298594 0.0496836
2.4168 1 0.0295445 0.0194357 0.266878 0.11654
2.43661 1 0.00291049 0.0115528 0.150018 0.0675956
2.45642 1 0.123867 0.0919132 1.47246 0.271593
2.47623 1 0.00320651 0.0179045 0.269935 0.0623882
2.49604 1 0.0311476 0.0274641 0.453819 0.0906763
2.51585 1 0.0473542 0.0329465 0.501346 0.0937314
2.53566 1 0.0219628 0.0693853 1.06075 0.13627
2.55547 1 0.00811188 0.0417454 0.624536 0.163267
2.57528 1 0.00997733 0.00762672 0.138438 0.091037
2.59509 1 0.0712126 0.0696128 1.12055 0.176636
2.6149 1 0.0185017 0.0232688 0.343445 0.0547474
2.63471 1 0.0285079 0.044183 0.631988 0.167054
2.65452 1 0.0196817 0.0175195 0.295155 0.0782402
2.67433 1 0.0649711 0.18038 2.76 0.453097
2.69414 1 0.00418259 0.0215317 0.321965 0.104002
2.71395 1 0.058374 0.0354386 0.545969 0.156247
