# Generated from ../data/13JUL2013/024.dat
freq T_s gyro_x steer steer_rate v
0 1 0.00658529 0.0764038 0.00722505 9.40362
0.0792393 1 0.489745 0.402449 0.218721 17.9573
0.158479 1 0.404559 0.444468 0.424405 7.1609
0.237718 1 0.429083 0.148492 0.189228 2.3342
0.316957 1 0.393809 0.0228129 0.059222 0.26886
0.396196 1 0.158224 0.189752 0.464473 0.373112
0.475436 1 0.183076 0.0300323 0.0791528 0.612635
0.554675 1 0.131216 0.297651 1.03243 0.178558
0.633914 1 0.0693619 0.140464 0.540084 0.187199
0.713154 1 0.0990596 0.123211 0.541334 0.152625
0.792393 1 0.178289 0.200646 1.01517 0.31037
0.871632 1 0.30112 0.274291 1.52596 0.482995
0.950872 1 0.107337 0.136861 0.809818 0.0743459
1.03011 1 0.0404582 0.106927 0.687564 0.00887811
1.10935 1 0.0671061 0.0671467 0.46047 0.0466073
1.18859 1 0.0258611 0.0789847 0.589354 0.0480827
1.26783 1 0.0875952 0.0331383 0.250909 0.0737977
1.34707 1 0.171107 0.129213 1.07082 0.270827
1.42631 1 0.148855 0.209459 1.83591 0.11648
1.50555 1 0.066467 0.0692737 0.645404 0.0201693
1.58479 1 0.03699 0.0689532 0.670974 0.0607405
1.66403 1 0.0567538 0.0261786 0.280442 0.0402333
1.74326 1 0.0889821 0.00951826 0.133891 0.114089
1.8225 1 0.0861151 0.0691731 0.760297 0.0910095
1.90174 1 0.0447436 0.0470142 0.541034 0.105333
1.98098 1 0.0055879 0.0308401 0.391532 0.0331427
2.06022 1 0.00576708 0.0225793 0.268321 0.0706602
2.13946 1 0.224575 0.0937303 1.336 0.324352
2.2187 1 0.0228334 0.0207918 0.275119 0.0783798
2.29794 1 0.0151502 0.0291847 0.401012 0.0532669
2.37718 1 0.05374 0.0725562 0.992513 0.199274
2.45642 1 0.123867 0.0919132 1.47246 0.271593
2.53566 1 0.0219628 0.0693853 1.06075 0.13627
2.6149 1 0.0185017 0.0232688 0.343445 0.0547474
2.69414 1 0.00418259 0.0215317 0.321965 0.104002
2.77338 1 0.0470913 0.00499366 0.0670276 0.204335
2.85261 1 0.0136501 0.0236467 0.371147 0.181001
2.93185 1 0.0137426 0.0216384 0.350243 0.0667939
3.01109 1 0.022383 0.0224961 0.363611 0.066519
3.09033 1 0.0202936 0.0235897 0.378786 0.138196
3.16957 1 0.0629235 0.07042 1.27378 0.129694
3.24881 1 0.0418882 0.0478776 0.942669 0.191071
3.32805 1 0.0355234 0.0121319 0.282412 0.0466616
3.40729 1 0.0148461 0.0378062 0.814145 0.17006
3.48653 1 0.0144543 0.0336556 0.618424 0.150629
3.56577 1 0.0915283 0.0492072 0.923823 0.230104
3.64501 1 0.0162353 0.0236815 0.395293 0.164036
3.72425 1 0.0252822 0.0337542 0.730199 0.118981
3.80349 1 0.0386212 0.052241 1.01994 0.255531
3.88273 1 0.022735 0.0123353 0.184266 0.121561
3.96196 1 0.0126785 0.0248248 0.487016 0.0752323
4.0412 1 0.0629415 0.0200223 0.393607 0.196165
4.12044 1 0.0594942 0.0364082 0.844919 0.413001
4.19968 1 0.0302635 0.0119402 0.333406 0.0297594
