# Generated from ../data/13JUL2013/025.dat
freq T_s gyro_x steer v
0 1 0.00129822 0.0438696 12.2259
0.19995 1 0.0739062 0.0624612 0.178187
0.3999 1 0.115058 0.199261 0.119086
0.59985 1 0.0899247 0.188671 0.308046
0.7998 1 0.0712574 0.125313 0.119113
0.99975 1 0.110516 0.364961 0.593501
1.1997 1 0.0498737 0.0596561 0.03567
1.39965 1 0.0659278 0.460776 0.686136
1.5996 1 0.0780746 0.17693 0.1928
1.79955 1 0.00683971 0.161855 0.551859
1.9995 1 0.138526 0.403975 0.501158
2.19945 1 0.19674 1.38475 4.43462
2.3994 1 0.0196961 0.193245 0.479372
2.59935 1 0.0653564 0.150129 0.119352
2.7993 1 0.024994 0.0312126 0.260766
2.99925 1 0.0678869 0.205074 0.520198
3.1992 1 0.054596 0.0985011 0.0756271
3.39915 1 0.0377335 0.0650141 0.108544
3.5991 1 0.0302082 0.0215578 0.046442
3.79905 1 0.0433861 0.0467342 0.193675
3.999 1 0.0368251 0.069014 0.259221
4.19895 1 0.041547 0.0513235 0.264741
4.3989 1 0.03811 0.0377442 0.214064
4.59885 1 0.0294234 0.0309102 0.25168
4.7988 1 0.0302551 0.0244676 0.142607
4.99875 1 0.0402763 0.11766 0.203295
5.1987 1 0.0176253 0.0800914 0.260715
5.39865 1 0.0355954 0.0287943 0.0555825
5.5986 1 0.0313885 0.0184491 0.0840482
5.79855 1 0.0152839 0.0843261 0.215498
5.9985 1 0.0400013 0.0496531 0.0634572
6.19845 1 0.0276991 0.128576 0.3882
6.3984 1 0.0243076 0.0288007 0.148679
6.59835 1 0.0290643 0.0146347 0.0289914
6.7983 1 0.0291113 0.028451 0.0155035
6.99825 1 0.0358418 0.0217235 0.0458907
7.1982 1 0.0302722 0.0232848 0.0373972
7.39815 1 0.0344576 0.0174099 0.0368742
7.5981 1 0.0383153 0.0232857 0.0342466
7.79805 1 0.0416255 0.0394978 0.162687
7.998 1 0.0464066 0.102975 0.320011
8.19795 1 0.0341453 0.0173981 0.0255731
8.3979 1 0.0373614 0.0370062 0.135956
8.59785 1 0.0356789 0.137303 0.17708
8.7978 1 0.0399965 0.108542 0.278647
8.99775 1 0.031877 0.0326579 0.0817874
9.1977 1 0.0384498 0.0174188 0.0706989
9.39765 1 0.0338717 0.00982886 0.0261276
9.5976 1 0.0360062 0.0220224 0.0466132
9.79755 1 0.046743 0.0531265 0.0677073
9.9975 1 0.0559072 0.0772181 0.131699
10.1974 1 0.0455961 0.0317489 0.0599759
10.3974 1 0.0394444 0.021491 0.029696
10.5973 1 0.0364326 0.0348764 0.0593625
10.7973 1 0.0381817 0.0123407 0.025538
10.9972 1 0.0425045 0.0140925 0.0179503
11.1972 1 0.0427378 0.0120337 0.0218106
11.3971 1 0.0438227 0.0311421 0.0467868
11.5971 1 0.0340766 0.0343536 0.081532
11.797 1 0.0397528 0.0178494 0.0173076
11.997 1 0.101973 0.270563 0.460813
12.1969 1 0.0426459 0.00717597 0.0109767
12.3969 1 0.0428687 0.00838355 0.0396085
12.5968 1 0.0355936 0.0299745 0.0822396
12.7968 1 0.0426036 0.00372293 0.00919491
12.9967 1 0.0423167 0.00717137 0.00692745
13.1967 1 0.0434603 0.0125228 0.0756254
13.3966 1 0.0502062 0.0199836 0.0314433
13.5966 1 0.0462324 0.00671773 0.0743401
13.7965 1 0.0443738 0.00858052 0.0148571
13.9965 1 0.0448667 0.00421357 0.0176121
14.1964 1 0.0482133 0.00871408 0.0974092
14.3964 1 0.043333 0.0113854 0.102847
14.5963 1 0.0461831 0.00285938 0.0338469
14.7963 1 0.0478219 0.0032932 0.0226917
14.9962 1 0.0498188 0.00429388 0.0268278
15.1962 1 0.0485337 0.00531073 0.0214794
15.3961 1 0.0495251 0.00472173 0.0481774
15.5961 1 0.0496456 0.00827817 0.0363261
15.796 1 0.0583825 0.100883 0.532952
15.996 1 0.0476006 0.0558695 0.582962
16.1959 1 0.0415398 0.0250809 0.118803
16.3959 1 0.050352 0.00177979 0.00445911
16.5958 1 0.05223 0.00369051 0.00456778
16.7958 1 0.0528592 0.00170453 0.0121893
16.9957 1 0.0543308 0.00361513 0.0313001
17.1957 1 0.055591 0.0115245 0.0908749
17.3956 1 0.0559254 0.00693672 0.0446631
17.5956 1 0.0593332 0.0220083 0.178217
17.7955 1 0.0540524 0.0130642 0.211363
17.9955 1 0.0473474 0.0299643 0.332151
18.1954 1 0.0400767 0.0562888 0.49258
18.3954 1 0.062141 0.0341514 0.0550579
18.5953 1 0.0612361 0.0316911 0.267447
18.7953 1 0.105363 0.183014 0.131723
18.9952 1 0.0595899 0.0279275 0.104481
19.1952 1 0.0613809 0.0259639 0.103051
19.3951 1 0.0592601 0.0130433 0.053853
19.5951 1 0.0667224 0.0316529 0.165498
19.795 1 0.0535266 0.0361732 0.06465
19.995 1 0.0523607 0.0406344 0.182346
20.1949 1 0.0422848 0.127065 0.264858
20.3949 1 0.0603782 0.0224051 0.0668941
20.5948 1 0.0594023 0.0311068 0.0954084
20.7948 1 0.0650714 0.0322744 0.0719225
20.9947 1 0.0661555 0.0234072 0.0526069
21.1947 1 0.0636461 0.0182313 0.0481173
21.3946 1 0.0628503 0.0172481 0.0375319
21.5946 1 0.0667236 0.0184772 0.0423391
21.7945 1 0.0659867 0.0362831 0.10567
21.9945 1 0.0691099 0.0295108 0.108919
22.1944 1 0.0813281 0.0865858 0.405345
22.3944 1 0.0599915 0.0362882 0.182602
22.5943 1 0.0684924 0.014291 0.0349524
22.7943 1 0.0735367 0.035809 0.0893674
22.9942 1 0.0645379 0.0167769 0.0476273
23.1942 1 0.0748243 0.177824 2.24436
23.3941 1 0.0646816 0.0692243 0.45801
23.5941 1 0.0774909 0.0419851 0.182054
23.794 1 0.0776495 0.0263294 0.0986376
23.994 1 0.0980498 0.18048 0.820946
24.1939 1 0.0705375 0.0156833 0.0815817
24.3939 1 0.0629381 0.0416612 0.102563
24.5938 1 0.0666645 0.0250321 0.228234
24.7938 1 0.0659753 0.068012 0.103899
24.9937 1 0.0771901 0.0429474 0.576883
25.1937 1 0.06767 0.0507241 0.390426
25.3936 1 0.0774898 0.0390149 0.224721
25.5936 1 0.0757268 0.0194907 0.0571756
25.7935 1 0.0791519 0.0328452 0.256302
25.9935 1 0.073781 0.0250099 0.319505
26.1934 1 0.0701063 0.0280913 0.53803
26.3934 1 0.0715398 0.0494332 0.53184
26.5933 1 0.0786034 0.0289088 0.192827
26.7933 1 0.0559371 0.0707711 0.606817
26.9932 1 0.0729463 0.0256124 0.153105
27.1932 1 0.0725423 0.0311539 0.20649
27.3931 1 0.0830201 0.0324621 0.376298
27.5931 1 0.0812366 0.0153413 0.0825813
27.793 1 0.0836464 0.0226695 0.0747454
27.993 1 0.0733119 0.0272207 0.132483
28.1929 1 0.0881679 0.0252366 0.135884
28.3929 1 0.0844281 0.0219105 0.158964
28.5928 1 0.0777475 0.083013 0.735011
28.7928 1 0.0859352 0.0433851 0.164349
28.9927 1 0.079884 0.0232112 0.190189
29.1927 1 0.0833622 0.0162206 0.0206059
29.3926 1 0.0786517 0.0268297 0.0821932
29.5926 1 0.0745904 0.114352 0.288228
29.7925 1 0.0803372 0.0392049 0.121961
29.9925 1 0.087259 0.0173128 0.133124
30.1924 1 0.0884737 0.0305102 0.242277
30.3924 1 0.0871023 0.0147474 0.0728284
30.5923 1 0.0850139 0.00894007 0.0094809
30.7923 1 0.0929592 0.151087 0.573746
30.9922 1 0.0822463 0.0212571 0.11544
31.1922 1 0.0833855 0.0331467 0.0967574
31.3921 1 0.0828714 0.0342067 0.131483
31.5921 1 0.0811525 0.0270428 0.0776715
31.792 1 0.0958114 0.0433391 0.105252
31.992 1 0.0901246 0.0211899 0.0759378
32.1919 1 0.0899554 0.0272716 0.0750265
32.3919 1 0.0895744 0.0220206 0.014647
32.5918 1 0.0856622 0.0176209 0.1216
32.7918 1 0.0895294 0.0269595 0.155343
32.9917 1 0.0888101 0.0441893 0.181467
33.1917 1 0.0931487 0.0214951 0.100551
33.3916 1 0.0902991 0.0176219 0.114563
33.5916 1 0.105076 0.0558275 0.257128
33.7915 1 0.0903353 0.0240885 0.184525
33.9915 1 0.0956772 0.0273014 0.0816627
34.1914 1 0.0926866 0.0403328 0.165237
34.3914 1 0.0944038 0.0231691 0.184175
34.5913 1 0.0993022 0.0676725 0.423717
34.7913 1 0.0903391 0.0323629 0.266619
34.9912 1 0.0994464 0.0533094 0.470202
35.1912 1 0.0980468 0.013024 0.0407443
35.3911 1 0.100537 0.0254011 0.383427
35.5911 1 0.103833 0.0197472 0.0501384
35.791 1 0.099254 0.00859517 0.0733362
35.991 1 0.0959934 0.0175342 0.202739
36.1909 1 0.0999406 0.0214796 0.0674255
36.3909 1 0.101102 0.013559 0.179435
36.5908 1 0.111061 0.0385027 0.217833
36.7908 1 0.0992484 0.0072861 0.0979111
36.9907 1 0.0967366 0.0124739 0.156334
37.1907 1 0.0995192 0.0164266 0.0861906
37.3906 1 0.102134 0.00959661 0.115311
37.5906 1 0.0939165 0.0157665 0.205033
37.7905 1 0.10113 0.00817645 0.0957724
37.9905 1 0.109236 0.0635278 0.445372
38.1904 1 0.0817552 0.0939913 1.50286
38.3904 1 0.107237 0.0875712 0.898513
38.5903 1 0.101779 0.0127711 0.136209
38.7903 1 0.101114 0.0382954 0.342188
38.9902 1 0.111614 0.0354978 0.22692
39.1902 1 0.107111 0.0189291 0.11496
39.3901 1 0.11076 0.0493045 0.626243
39.5901 1 0.111172 0.11188 0.428638
39.79 1 0.12475 0.110146 0.674076
39.99 1 0.0982935 0.160895 0.164644
40.1899 1 0.108441 0.0152054 0.0188256
40.3899 1 0.130154 0.0794201 0.35616
40.5898 1 0.109711 0.0183655 0.113973
40.7898 1 0.112117 0.0255848 0.0544847
40.9897 1 0.106711 0.0263509 0.065585
41.1897 1 0.106396 0.0174145 0.0370824
41.3896 1 0.107947 0.0158763 0.0136893
41.5896 1 0.107883 0.0384416 0.0802828
41.7895 1 0.11344 0.101478 0.145711
41.9895 1 0.109438 0.0188819 0.0340991
42.1894 1 0.11244 0.0184086 0.0204634
42.3894 1 0.177959 0.231688 0.167127
42.5893 1 0.106735 0.0381598 0.0975464
42.7893 1 0.119188 0.0830912 0.236658
42.9892 1 0.110055 0.0391673 0.0346248
43.1892 1 0.108165 0.0569213 0.122155
43.3891 1 0.119016 0.0560162 0.339702
43.5891 1 0.107767 0.0375898 0.167277
43.789 1 0.111864 0.0379825 0.242706
43.989 1 0.116303 0.0155439 0.108938
44.1889 1 0.112087 0.0528195 0.559088
44.3889 1 0.102058 0.0937028 0.389914
44.5888 1 0.111777 0.0394925 0.251381
44.7888 1 0.114898 0.0421772 0.222091
44.9887 1 0.117635 0.0407379 0.207013
45.1887 1 0.101312 0.0393161 0.171683
45.3886 1 0.124285 0.019834 0.106914
45.5886 1 0.112741 0.0199747 0.28369
45.7885 1 0.120499 0.0099798 0.069586
45.9885 1 0.116522 0.0253834 0.212527
46.1884 1 0.134706 0.0353401 0.21325
46.3884 1 0.120453 0.0282972 0.428303
46.5883 1 0.119572 0.00959129 0.069812
46.7883 1 0.103493 0.0277714 0.263047
46.9882 1 0.128961 0.0257881 0.15702
47.1882 1 0.118228 0.0111966 0.0391331
47.3881 1 0.119547 0.0373684 0.324927
47.5881 1 0.117979 0.00977212 0.118145
47.788 1 0.118404 0.0133116 0.231267
47.988 1 0.116046 0.0242492 0.166192
48.1879 1 0.127542 0.0270703 0.204533
48.3879 1 0.122243 0.0189906 0.255305
48.5878 1 0.121954 0.00905226 0.0635968
48.7878 1 0.111666 0.0329117 0.290556
48.9877 1 0.149355 0.0413894 0.476997
49.1877 1 0.127126 0.0250469 0.408437
49.3876 1 0.135299 0.0292253 0.409556
49.5876 1 0.129261 0.0181389 0.111157
49.7875 1 0.127173 0.028355 0.459125
49.9875 1 0.13509 0.0244525 0.0768701
50.1874 1 0.116548 0.0326775 0.454286
50.3874 1 0.144719 0.0423179 0.164262
50.5873 1 0.130461 0.0311993 0.244284
50.7873 1 0.112421 0.0497195 0.246661
50.9872 1 0.134862 0.0294989 0.0809145
51.1872 1 0.127366 0.0319047 0.200972
51.3871 1 0.138888 0.0370511 0.17479
51.5871 1 0.130455 0.0271999 0.202935
51.787 1 0.123664 0.0618913 0.135175
51.987 1 0.123825 0.0320175 0.120796
52.1869 1 0.125106 0.02511 0.0705329
52.3869 1 0.125614 0.0265273 0.0443249
52.5868 1 0.12801 0.0259936 0.0521729
52.7868 1 0.132175 0.0155112 0.0321429
52.9867 1 0.135515 0.0300257 0.0704853
53.1867 1 0.127414 0.0226825 0.00902115
53.3866 1 0.138543 0.0301964 0.098522
53.5866 1 0.135586 0.0366721 0.0961451
53.7865 1 0.126358 0.0399966 0.125923
53.9865 1 0.128101 0.0181987 0.281423
54.1864 1 0.104494 0.099092 0.647318
54.3864 1 0.138762 0.0686884 0.665309
54.5863 1 0.141307 0.0300741 0.35706
54.7863 1 0.0832571 0.0942866 0.43158
54.9862 1 0.132506 0.0805438 0.703017
55.1862 1 0.131198 0.039236 0.39348
55.3861 1 0.131134 0.0164542 0.245445
55.5861 1 0.131945 0.0296827 0.4637
55.786 1 0.152154 0.0696669 0.282331
55.986 1 0.142318 0.068363 0.894207
56.1859 1 0.136424 0.0216763 0.105151
56.3859 1 0.158564 0.0444715 0.0811314
56.5858 1 0.139762 0.0154984 0.189055
56.7858 1 0.147969 0.0198132 0.0317306
56.9857 1 0.144726 0.0317026 0.240167
57.1857 1 0.140144 0.0145716 0.250203
57.3856 1 0.147029 0.0262794 0.323127
57.5856 1 0.1441 0.0146858 0.17839
57.7855 1 0.147651 0.0199093 0.2503
57.9855 1 0.144389 0.021118 0.474449
58.1854 1 0.14949 0.0294666 0.181046
58.3854 1 0.147635 0.0190041 0.157012
58.5853 1 0.142594 0.0214273 0.10936
58.7853 1 0.147194 0.024403 0.170745
58.9852 1 0.136431 0.0240446 0.318901
59.1852 1 0.153178 0.170295 0.35419
59.3851 1 0.146119 0.0248382 0.177775
59.5851 1 0.151264 0.101278 0.415983
59.785 1 0.126082 0.0356644 0.61737
59.985 1 0.143657 0.0467812 0.590254
60.1849 1 0.16101 0.0310311 0.431892
60.3849 1 0.159855 0.0411824 0.333037
60.5848 1 0.142994 0.0226238 0.314154
60.7848 1 0.149461 0.0314369 0.46019
60.9847 1 0.147629 0.0401791 0.0580321
61.1847 1 0.145529 0.0243372 0.097626
61.3846 1 0.138113 0.0279982 0.130714
61.5846 1 0.145975 0.029893 0.212607
61.7845 1 0.153745 0.00995096 0.0759809
61.9845 1 0.158637 0.0382803 0.0969307
62.1844 1 0.145919 0.0348227 0.0861134
62.3844 1 0.149241 0.035933 0.074822
62.5843 1 0.144576 0.0343355 0.136346
62.7843 1 0.148462 0.0223355 0.0348749
62.9842 1 0.149797 0.0333662 0.0793236
63.1842 1 0.151013 0.0188076 0.0299924
63.3841 1 0.145579 0.0362056 0.0637978
63.5841 1 0.139433 0.0249253 0.0530268
63.784 1 0.146237 0.0231554 0.112245
63.984 1 0.172717 0.250426 2.05231
64.1839 1 0.140118 0.0301347 0.11593
64.3839 1 0.16332 0.0666481 0.451106
64.5838 1 0.151915 0.0206757 0.164151
64.7838 1 0.180594 0.069766 0.473718
64.9837 1 0.155634 0.0503194 0.479003
65.1837 1 0.159549 0.0303598 0.15458
65.3836 1 0.1464 0.036318 0.0919806
65.5836 1 0.157689 0.0228188 0.203228
65.7835 1 0.145323 0.0306059 0.310666
65.9835 1 0.159903 0.019085 0.196461
66.1834 1 0.173949 0.0249337 0.291133
66.3834 1 0.160084 0.0177352 0.164452
66.5833 1 0.127792 0.0486873 0.899452
66.7833 1 0.16626 0.0736332 0.689206
66.9832 1 0.123738 0.0296293 0.443597
67.1832 1 0.160725 0.0456294 0.516911
67.3831 1 0.243507 0.285255 7.12653
67.5831 1 0.158788 0.0260317 0.394632
67.783 1 0.166896 0.023681 0.258898
67.983 1 0.147465 0.0210842 0.600129
68.1829 1 0.137061 0.0364772 0.527823
68.3829 1 0.155198 0.0231023 0.541876
68.5828 1 0.154514 0.025232 0.275477
68.7828 1 0.128351 0.060603 0.709608
68.9827 1 0.156735 0.0101297 0.151924
69.1827 1 0.161843 0.0241772 0.261777
69.3826 1 0.104791 0.0765476 1.00609
69.5826 1 0.155486 0.0154912 0.349372
69.7825 1 0.154605 0.0565754 0.614674
69.9825 1 0.141023 0.0619731 0.709018
70.1824 1 0.164576 0.0814938 0.53061
70.3824 1 0.153945 0.0465286 0.34328
70.5823 1 0.145522 0.0298405 0.479726
70.7823 1 0.149241 0.0223957 0.186998
70.9822 1 0.167112 0.0491338 0.450752
71.1822 1 0.162822 0.0204808 0.660542
71.3821 1 0.15967 0.0256709 0.507355
71.5821 1 0.161524 0.0250299 0.129413
71.782 1 0.165545 0.0185537 0.18809
71.982 1 0.172765 0.0234854 0.26211
72.1819 1 0.164616 0.0352514 0.14886
72.3819 1 0.149892 0.036391 0.12329
72.5818 1 0.158001 0.0141895 0.0588999
72.7818 1 0.165273 0.117901 0.342661
72.9817 1 0.164188 0.0210442 0.05871
73.1817 1 0.164271 0.0326617 0.0585107
73.3816 1 0.170703 0.0236278 0.0889968
73.5816 1 0.166137 0.0171981 0.031241
73.7815 1 0.176146 0.0445516 0.0597543
73.9815 1 0.162303 0.0270025 0.0812303
74.1814 1 0.167925 0.0845882 0.124084
74.3814 1 0.141389 0.0680243 0.100996
74.5813 1 0.173146 0.0146042 0.110635
74.7813 1 0.161699 0.0205395 0.172095
74.9812 1 0.161388 0.0107043 0.0411535
75.1812 1 0.167171 0.0317295 0.0703213
75.3811 1 0.167677 0.0396861 0.0471254
75.5811 1 0.152287 0.0686974 0.391231
75.781 1 0.186189 0.0476595 0.265115
75.981 1 0.158881 0.0733681 0.173677
76.1809 1 0.161199 0.0208072 0.140299
76.3809 1 0.162633 0.0450437 0.310228
76.5808 1 0.167796 0.0386013 0.135673
76.7808 1 0.169886 0.0443081 0.432815
76.9807 1 0.172515 0.0988574 0.925652
77.1807 1 0.159236 0.026602 0.381612
77.3806 1 0.166156 0.0133011 0.162028
77.5806 1 0.180224 0.0154283 0.286398
77.7805 1 0.175613 0.0553826 0.509549
77.9805 1 0.191657 0.0713855 0.696948
78.1804 1 0.152086 0.02233 0.220308
78.3804 1 0.168418 0.0145239 0.201212
78.5803 1 0.182496 0.0402563 0.524751
78.7803 1 0.170428 0.00844716 0.0909641
78.9802 1 0.161915 0.0133682 0.180974
79.1802 1 0.168899 0.0240156 0.183812
79.3801 1 0.178594 0.016638 0.237797
79.5801 1 0.222495 0.0393553 0.778338
79.78 1 0.154701 0.0488748 0.753452
79.98 1 0.172445 0.0282681 0.796169
80.1799 1 0.174482 0.0164289 0.129937
80.3799 1 0.174446 0.062674 1.1244
80.5798 1 0.181973 0.0186671 0.129055
80.7798 1 0.179705 0.129347 1.64805
80.9797 1 0.176251 0.0182782 0.0746757
81.1797 1 0.187811 0.0348699 0.492583
81.3796 1 0.17136 0.0476463 0.402339
81.5796 1 0.17074 0.00973712 0.0598782
81.7795 1 0.176137 0.0447426 0.298196
81.9795 1 0.167264 0.0239107 0.147655
82.1794 1 0.168465 0.0213888 0.115635
82.3794 1 0.168832 0.0222678 0.160873
82.5793 1 0.154704 0.075234 0.740397
82.7793 1 0.169461 0.013355 0.0743441
82.9792 1 0.169789 0.0123766 0.0980932
83.1792 1 0.175852 0.0205028 0.110675
83.3791 1 0.169357 0.00491078 0.0150959
83.5791 1 0.168886 0.00854356 0.011197
83.779 1 0.17131 0.00693011 0.0160568
83.979 1 0.169684 0.0117239 0.0298075
84.1789 1 0.171927 0.00602527 0.0101093
84.3789 1 0.171519 0.00431442 0.00326828
84.5788 1 0.172722 0.00163941 0.00442669
84.7788 1 0.171817 0.00455245 0.0112434
84.9787 1 0.173723 0.0100584 0.0291281
85.1787 1 0.175741 0.014774 0.0109556
85.3786 1 0.171238 0.00908831 0.028814
85.5786 1 0.172066 0.0100637 0.0130214
85.7785 1 0.173607 0.00361196 0.0269081
85.9785 1 0.183599 0.036649 0.175601
86.1784 1 0.172563 0.00799996 0.0968041
86.3784 1 0.177446 0.012431 0.17657
86.5783 1 0.171182 0.01868 0.203221
