# Generated from ../data/13JUL2013/000.dat
time v v_c
20 0 0
20.005 0 0
20.01 0 0
20.015 0 0
20.02 0 0
20.025 0 0
20.03 0 0
20.035 0 0
20.04 0 0
20.045 0 0
20.05 0 0
20.055 0 0
20.06 0 0
20.065 0 0
20.07 0 0
20.075 0 0
20.08 0 0
20.085 0 0
20.09 0 0
20.095 0 0
20.1 0 0
20.105 0 0
20.11 0 0
20.115 0 0
20.12 0 0
20.125 0 0
20.13 0 0
20.135 0 0
20.14 0 0
20.145 0 0
20.15 0 0
20.155 0 0
20.16 0 0
20.165 0 0
20.17 0 0
20.175 0 0
20.18 0 0
20.185 0 0
20.19 0 0
20.195 0 0
20.2 0 0
20.205 0 0
20.21 0 0
20.215 0 0
20.22 0 0
20.225 0 0
20.23 0 0
20.235 0 0
20.24 0 0
20.245 0 0
20.25 0 0
20.255 0 0
20.26 0 0
20.265 0 0
20.27 0 0
20.275 0 0
20.28 0 0
20.285 0 0
20.29 0 0
20.295 0 0
20.3 0 0
20.305 0 0
20.31 0 0
20.315 0 0
20.32 0 0
20.325 0 0
20.33 0 0
20.335 0 0
20.34 0 0
20.345 0 0
20.35 0 0
20.355 0 0
20.36 0 0
20.365 0 0
20.37 0 0
20.375 0 0
20.38 0 0
20.385 0 0
20.39 0 0
20.395 0 0
20.4 0 0
20.405 0 0
20.41 0 0
20.415 0 0
20.42 0 0
20.425 0 0
20.43 0 0
20.435 0 0
20.44 0 0
20.445 0 0
20.45 0 0
20.455 0 0
20.46 0 0
20.465 0 0
20.47 0 0
20.475 0 0
20.48 0 0
20.485 0 0
20.49 0 0
20.495 0 0
20.5 0 0
20.505 0 0
20.51 0 0
20.515 0 0
20.52 0 0
20.525 0 0
20.53 0 0
20.535 0 0
20.54 0 0
20.545 0 0
20.55 0 0
20.555 0 0
20.56 0 0
20.565 0 0
20.57 0 0
20.575 0 0
20.58 0 0
20.585 0 0
20.59 0 0
20.595 0 0
20.6 0 0
20.605 0 0
20.61 0 0
20.615 0 0
20.62 0 0
20.625 0 0
20.63 0 0
20.635 0 0
20.64 0 0
20.645 0 0
20.65 0 0
20.655 0 0
20.66 0 0
20.665 0 0
20.67 0 0
20.675 0 0
20.68 0 0
20.685 0 0
20.69 0 0
20.695 0 0
20.7 0 0
20.705 0 0
20.71 0 0
20.715 0 0
20.72 0 0
20.725 0 0
20.73 0 0
20.735 0 0
20.74 0 0
20.745 0 0
20.75 0 0
20.755 0 0
20.76 0 0
20.765 0 0
20.77 0 0
20.775 0 0
20.78 0 0
20.785 0 0
20.79 0 0
20.795 0 0
20.8 0 0
20.805 0 0
20.81 0 0
20.815 0 0
20.82 0 0
20.825 0 0
20.83 0 0
20.835 0 0
20.84 0 0
20.845 0 0
20.85 0 0
20.855 0 0
20.86 0 0
20.865 0 0
20.87 0 0
20.875 0 0
20.88 0 2
20.885 0 2
20.89 0 2
20.895 0 2
20.9 0 2
20.905 0 2
20.91 0 2
20.915 0 2
20.92 0 2
20.925 0 2
20.93 0 2
20.935 0.0102863 2
20.94 0.0150332 2
20.945 0.0184915 2
20.95 0.0210106 2
20.955 0.0331323 2
20.96 0.039216 2
20.965 0.0436484 2
20.97 0.0468769 2
20.975 0.0492293 2
20.98 0.0612286 2
20.985 0.0672243 2
20.99 0.0715914 2
20.995 0.0850599 2
21 0.0921241 2
21.005 0.0972714 2
21.01 0.111306 2
21.015 0.118785 2
21.02 0.134519 2
21.025 0.143235 2
21.03 0.139298 2
21.035 0.149463 2
21.04 0.154121 2
21.045 0.167802 2
21.05 0.164734 2
21.055 0.165247 2
21.06 0.175905 2
21.065 0.191211 2
21.07 0.199613 2
21.075 0.205736 2
21.08 0.210194 2
21.085 0.22373 2
21.09 0.220557 2
21.095 0.231279 2
21.1 0.246628 2
21.105 0.24478 2
21.11 0.256463 2
21.115 0.26223 2
21.12 0.266429 2
21.125 0.279777 2
21.13 0.276466 2
21.135 0.287088 2
21.14 0.292078 2
21.145 0.306002 2
21.15 0.313396 2
21.155 0.318785 2
21.16 0.322708 2
21.165 0.32557 2
21.17 0.327651 2
21.175 0.339456 2
21.18 0.345307 2
21.185 0.359858 2
21.19 0.357423 2
21.195 0.358399 2
21.2 0.369392 2
21.205 0.374658 2
21.21 0.378491 2
21.215 0.391573 2
21.22 0.398352 2
21.225 0.413582 2
21.23 0.421925 2
21.235 0.428008 2
21.24 0.432435 2
21.245 0.44595 2
21.25 0.453045 2
21.255 0.458219 2
21.26 0.472269 2
21.265 0.479763 2
21.27 0.485217 2
21.275 0.489195 2
21.28 0.492089 2
21.285 0.504487 2
21.29 0.510768 2
21.295 0.515349 2
21.3 0.518681 2
21.305 0.5314 2
21.31 0.537914 2
21.315 0.542664 2
21.32 0.54612 2
21.325 0.548642 2
21.33 0.56076 2
21.335 0.566848 2
21.34 0.571277 2
