# Generated from ../data/13JUL2013/000.dat
time v v_c
20 0 0
20.02 0 0
20.04 0 0
20.06 0 0
20.08 0 0
20.1 0 0
20.12 0 0
20.14 0 0
20.16 0 0
20.18 0 0
20.2 0 0
20.22 0 0
20.24 0 0
20.26 0 0
20.28 0 0
20.3 0 0
20.32 0 0
20.34 0 0
20.36 0 0
20.38 0 0
20.4 0 0
20.42 0 0
20.44 0 0
20.46 0 0
20.48 0 0
20.5 0 0
20.52 0 0
20.54 0 0
20.56 0 0
20.58 0 0
20.6 0 0
20.62 0 0
20.64 0 0
20.66 0 0
20.68 0 0
20.7 0 0
20.72 0 0
20.74 0 0
20.76 0 0
20.78 0 0
20.8 0 0
20.82 0 0
20.84 0 0
20.86 0 0
20.88 0 2
20.9 0 2
20.92 0 2
20.94 0.0150332 2
20.96 0.039216 2
20.98 0.0612286 2
21 0.0921241 2
21.02 0.134519 2
21.04 0.154121 2
21.06 0.175905 2
21.08 0.210194 2
21.1 0.246628 2
21.12 0.266429 2
21.14 0.292078 2
21.16 0.322708 2
21.18 0.345307 2
21.2 0.369392 2
21.22 0.398352 2
21.24 0.432435 2
21.26 0.472269 2
21.28 0.492089 2
21.3 0.518681 2
21.32 0.54612 2
21.34 0.571277 2
21.36 0.60083 2
21.38 0.644133 2
21.4 0.668387 2
21.42 0.703056 2
21.44 0.721421 2
21.46 0.747604 2
21.48 0.78047 2
21.5 0.81336 2
21.52 0.845092 2
21.54 0.871458 2
21.56 0.919844 2
21.58 0.934805 2
21.6 0.962549 2
21.62 1.0006 2
21.64 1.03841 2
21.66 1.0608 2
21.68 1.10806 2
21.7 1.12998 2
21.72 1.16744 2
21.74 1.18062 2
21.76 1.20103 2
21.78 1.22053 2
21.8 1.24725 2
21.82 1.26747 2
21.84 1.28188 2
21.86 1.30443 2
21.88 1.32347 2
21.9 1.34784 2
21.92 1.35711 2
21.94 1.38073 2
21.96 1.40387 2
21.98 1.41624 2
22 1.44202 2
22.02 1.46196 2
22.04 1.46651 2
22.06 1.49133 2
22.08 1.502 2
22.1 1.51529 2
22.12 1.53424 2
22.14 1.54924 2
22.16 1.55346 2
22.18 1.57695 2
22.2 1.60223 2
22.22 1.60828 2
22.24 1.62373 2
22.26 1.63429 2
22.28 1.64453 2
22.3 1.65043 2
22.32 1.66176 2
22.34 1.6684 2
22.36 1.67502 2
22.38 1.68717 2
22.4 1.69551 2
22.42 1.70513 2
22.44 1.7156 2
22.46 1.7303 2
22.48 1.73812 2
22.5 1.73349 2
22.52 1.75634 2
22.54 1.75512 2
22.56 1.75454 2
22.58 1.76848 2
22.6 1.77228 2
22.62 1.77587 2
22.64 1.78717 2
22.66 1.78721 2
22.68 1.79763 2
22.7 1.79821 2
22.72 1.81593 2
22.74 1.82079 2
22.76 1.82691 2
22.78 1.83115 2
22.8 1.83581 2
22.82 1.8474 2
22.84 1.85213 2
22.86 1.85346 2
22.88 1.85858 2
22.9 1.86002 2
22.92 1.86389 2
22.94 1.86497 2
22.96 1.87003 2
22.98 1.8808 2
23 1.88277 2
23.02 1.87952 2
23.04 1.8786 2
23.06 1.87186 2
23.08 1.87657 2
23.1 1.88504 2
23.12 1.8849 2
23.14 1.88738 2
23.16 1.88808 2
23.18 1.8908 2
23.2 1.90408 2
23.22 1.89899 2
23.24 1.90416 2
23.26 1.91621 2
23.28 1.91615 2
23.3 1.91016 2
23.32 1.91444 2
23.34 1.90314 2
23.36 1.90626 2
23.38 1.91083 2
23.4 1.90643 2
23.42 1.90059 2
23.44 1.91627 2
23.46 1.91365 2
23.48 1.91197 2
23.5 1.91021 2
23.52 1.90072 2
23.54 1.90558 2
23.56 1.90718 2
23.58 1.90886 2
23.6 1.90379 2
23.62 1.91846 2
23.64 1.92707 2
23.66 1.9134 2
23.68 1.91536 2
23.7 1.91591 2
23.72 1.91009 2
23.74 1.90967 2
23.76 1.90401 2
23.78 1.90902 2
23.8 1.9244 2
23.82 1.91264 2
23.84 1.90485 2
23.86 1.91876 2
23.88 1.91687 2
23.9 1.91634 2
23.92 1.91964 2
23.94 1.93215 2
23.96 1.91958 2
23.98 1.91962 2
24 1.92186 2
24.02 1.92803 2
24.04 1.92094 2
24.06 1.92569 2
24.08 1.93637 2
24.1 1.92803 2
24.12 1.9302 2
24.14 1.9411 2
24.16 1.92937 2
24.18 1.94087 2
24.2 1.94304 2
24.22 1.94366 2
24.24 1.94132 2
24.26 1.94793 2
24.28 1.94504 2
24.3 1.94423 2
24.32 1.95428 2
24.34 1.94576 2
24.36 1.94442 2
24.38 1.94059 2
24.4 1.93268 2
24.42 1.93705 2
24.44 1.93851 2
24.46 1.93986 2
24.48 1.93801 2
24.5 1.94224 2
24.52 1.94343 2
24.54 1.93902 2
24.56 1.94252 2
24.58 1.94351 2
24.6 1.9335 2
24.62 1.95232 2
24.64 1.94866 2
24.66 1.94524 2
24.68 1.94679 2
24.7 1.94946 2
24.72 1.94546 2
24.74 1.9478 2
24.76 1.94845 2
24.78 1.95547 2
24.8 1.95084 2
24.82 1.9506 2
24.84 1.94924 2
24.86 1.9454 2
24.88 1.95461 2
24.9 1.9634 2
24.92 1.95308 2
24.94 1.95469 2
24.96 1.98298 2
24.98 1.9635 2
25 1.98072 2
25.02 1.9779 2
25.04 1.98846 2
25.06 1.97533 2
25.08 1.97745 2
25.1 1.98358 2
25.12 1.98899 2
25.14 1.98829 2
25.16 1.9963 2
25.18 2.0033 2
25.2 1.99232 2
25.22 1.99743 2
25.24 2.00139 2
25.26 1.99747 2
25.28 1.9929 2
25.3 1.9976 2
25.32 1.98388 2
25.34 1.99612 2
25.36 2.00879 2
25.38 2.03231 2
25.4 2.02758 2
25.42 2.02731 2
25.44 2.04227 2
25.46 2.03039 2
25.48 2.02335 2
25.5 2.02612 2
25.52 2.0269 2
25.54 2.02237 2
25.56 2.02584 2
25.58 2.02682 2
25.6 2.02235 2
25.62 2.02584 2
25.64 2.02682 2
25.66 2.01206 2
25.68 2.024 2
25.7 2.02976 2
25.72 2.02793 2
25.74 2.02741 2
25.76 2.03547 2
25.78 2.02953 2
25.8 2.03132 2
25.82 2.03865 2
25.84 2.04009 2
25.86 2.04587 2
25.88 2.03392 2
25.9 2.03256 2
25.92 2.01022 2
25.94 2.01751 2
25.96 2.00598 2
25.98 2.00128 2
26 2.00816 2
26.02 2.00787 2
26.04 2.00181 2
26.06 2.01636 2
26.08 2.00565 2
26.1 2.00592 2
26.12 2.00471 2
26.14 2.00091 2
26.16 1.99733 2
26.18 2.00136 2
26.2 1.99652 2
26.22 2.00682 2
26.24 2.0118 2
26.26 2.00186 2
26.28 2.00012 2
26.3 1.98934 2
26.32 1.99168 2
26.34 1.98905 2
26.36 1.98579 2
26.38 1.98487 2
26.4 1.99187 2
26.42 1.97882 2
26.44 1.98649 2
26.46 1.98758 2
26.48 1.97509 2
26.5 1.97515 2
26.52 1.97265 2
26.54 1.96167 2
26.56 1.98021 2
26.58 1.97554 2
26.6 1.98305 2
26.62 1.98662 2
26.64 1.98985 2
26.66 1.97825 2
26.68 1.98381 2
26.7 1.97402 2
26.72 1.98262 2
26.74 1.97369 2
26.76 1.98252 2
26.78 1.96891 2
26.8 1.98118 2
26.82 1.97328 2
26.84 1.97212 2
26.86 1.97179 2
26.88 1.99019 2
26.9 1.97582 2
26.92 1.98787 2
26.94 1.97992 2
26.96 1.98902 2
26.98 1.97549 2
27 1.97749 2
27.02 1.97331 2
27.04 1.98716 2
27.06 1.97022 2
27.08 1.98629 2
27.1 1.97947 2
27.12 1.97861 2
27.14 1.96888 2
27.16 1.97434 2
27.18 1.96421 2
27.2 1.96957 2
27.22 1.96762 2
27.24 1.97053 2
27.26 1.96883 2
27.28 1.97684 2
27.3 1.97061 2
27.32 1.96108 2
27.34 1.98003 2
27.36 1.96267 2
27.38 1.96768 2
27.4 1.9658 2
27.42 1.97001 2
27.44 1.963 2
27.46 1.95296 2
27.48 1.9512 2
27.5 1.94941 2
27.52 1.94891 2
27.54 1.9556 2
27.56 1.9534 2
27.58 1.95132 2
27.6 1.95419 2
27.62 1.96054 2
27.64 1.95004 2
27.66 1.96664 2
27.68 1.96679 2
27.7 1.96684 2
27.72 1.96779 2
27.74 1.96029 2
27.76 1.967 2
27.78 1.96007 2
27.8 1.96471 2
27.82 1.96496 2
27.84 1.96978 2
27.86 1.96293 2
27.88 1.96575 2
27.9 1.97 2
27.92 1.95839 2
27.94 1.95618 2
27.96 1.95333 2
27.98 1.95253 2
28 1.95914 2
28.02 1.96468 2
28.04 1.96372 2
28.06 1.96943 2
28.08 1.96852 2
28.1 1.96049 2
28.12 1.97987 2
28.14 1.96263 2
28.16 1.97018 2
28.18 1.9665 2
28.2 1.97021 2
28.22 1.96305 2
28.24 1.96578 2
28.26 1.95375 2
28.28 1.95013 2
28.3 1.94911 2
28.32 1.94788 2
28.34 1.95782 2
28.36 1.96179 2
28.38 1.95607 2
28.4 1.95077 2
28.42 1.94834 2
28.44 1.94766 2
28.46 1.94494 2
28.48 1.94419 2
28.5 1.94398 2
28.52 1.94392 2
28.54 1.9439 2
28.56 1.9439 2
28.58 1.94138 2
28.6 1.94319 2
28.62 1.93895 2
28.64 1.93998 2
28.66 1.94028 2
28.68 1.93813 2
28.7 1.93629 2
28.72 1.93449 2
28.74 1.9365 2
28.76 1.93584 2
28.78 1.93436 2
28.8 1.93646 2
28.82 1.929 2
28.84 1.9335 2
28.86 1.93277 2
28.88 1.92797 2
28.9 1.93322 2
28.92 1.92716 2
28.94 1.92744 2
28.96 1.93558 2
28.98 1.92781 2
29 1.92762 2
29.02 1.93692 2
29.04 1.92567 2
29.06 1.92702 2
29.08 1.93675 2
29.1 1.92562 2
29.12 1.93981 2
29.14 1.93929 2
29.16 1.92885 2
29.18 1.94072 2
29.2 1.93954 2
29.22 1.92893 2
29.24 1.94074 2
29.26 1.94301 2
29.28 1.94019 2
29.3 1.94285 2
29.32 1.9436 2
29.34 1.93907 2
29.36 1.94002 2
29.38 1.9428 2
29.4 1.94359 2
29.42 1.94381 2
29.44 1.95762 2
29.46 1.9595 2
29.48 1.95198 2
29.5 1.95092 2
29.52 1.95185 2
29.54 1.94614 2
29.56 1.95733 2
29.58 1.95388 2
29.6 1.95146 2
29.62 1.94948 2
29.64 1.95145 2
29.66 1.94854 2
29.68 1.95247 2
29.7 1.96134 2
29.72 1.95121 2
29.74 1.94941 2
29.76 1.94797 2
29.78 1.9626 2
29.8 1.95839 2
29.82 1.95512 2
29.84 1.95526 2
29.86 1.95308 2
29.88 1.96275 2
29.9 1.96095 2
29.92 1.96519 2
29.94 1.96386 2
29.96 1.95666 2
29.98 1.9557 2
30 1.9532 2
30.02 1.96278 2
30.04 1.95844 2
30.06 1.96448 2
30.08 1.96367 2
30.1 1.95186 2
30.12 1.96463 2
30.14 1.95465 2
30.16 1.96319 2
30.18 1.96107 2
30.2 1.96868 2
30.22 1.96736 2
30.24 1.97046 2
30.26 1.96881 2
30.28 1.97338 2
30.3 1.97215 2
30.32 1.96152 2
30.34 1.98016 2
30.36 1.973 2
30.38 1.98233 2
30.4 1.96886 2
30.42 1.98591 2
30.44 1.97462 2
30.46 1.9725 2
30.48 1.9719 2
30.5 1.99022 2
30.52 1.97583 2
30.54 1.98787 2
30.56 1.97992 2
30.58 1.98902 2
30.6 1.98578 2
30.62 1.98961 2
30.64 1.97566 2
30.66 1.98782 2
30.68 1.97516 2
30.7 1.98292 2
30.72 1.97376 2
30.74 1.98728 2
30.76 1.97499 2
30.78 1.98763 2
30.8 1.97035 2
30.82 1.98633 2
30.84 1.97473 2
30.86 1.97253 2
30.88 1.96716 2
30.9 1.9786 2
30.92 1.96541 2
30.94 1.96991 2
30.96 1.97463 2
30.98 1.97596 2
31 1.96942 2
31.02 1.97701 2
31.04 1.97065 2
31.06 1.97484 2
31.08 1.97256 2
31.1 1.97444 2
31.12 1.98021 2
31.14 1.97553 2
31.16 1.97024 2
31.18 1.96099 2
31.2 1.98002 2
31.22 1.96268 2
31.24 1.97021 2
31.26 1.96651 2
31.28 1.97496 2
31.3 1.96785 2
31.32 1.97534 2
31.34 1.9727 2
31.36 1.98016 2
31.38 1.97406 2
31.4 1.98055 2
31.42 1.97417 2
31.44 1.98058 2
31.46 1.97418 2
31.48 1.97583 2
31.5 1.96938 2
31.52 1.97448 2
31.54 1.969 2
31.56 1.97437 2
